/home/kerouac/RIOT/dist/tools/pyterm/pyterm -p "/dev/ttyACM0" -b "115200" -ln "/tmp/pyterm-kerouac" -rn "2025-07-11_16.20.43-pkt_logger-adafruit-feather-nrf52840-sense"  
2025-07-11 16:20:43,776 # Connect to serial port /dev/ttyACM0
Welcome to pyterm!
Type '/exit' to exit.
2025-07-11 16:20:47,187 # help
2025-07-11 16:20:47,188 # Command              Description
2025-07-11 16:20:47,190 # ---------------------------------------
2025-07-11 16:20:47,193 # target_add           Add IPv6 target for sending packets
2025-07-11 16:20:47,195 # send                 Control sender: send start|stop
2025-07-11 16:20:47,197 # status               Show sender status and target list
2025-07-11 16:20:47,198 # ping                 Ping via ICMPv6
2025-07-11 16:20:47,200 # nib                  Configure neighbor information base
2025-07-11 16:20:47,202 # ifconfig             Configure network interfaces
2025-07-11 16:20:47,204 # 6ctx                 6LoWPAN context configuration tool
2025-07-11 16:20:47,206 # pm                   interact with layered PM subsystem
2025-07-11 16:20:47,208 # version              Prints current RIOT_VERSION
2025-07-11 16:20:47,209 # bootloader           Reboot to bootloader
2025-07-11 16:20:47,210 # reboot               Reboot the node
2025-07-11 16:21:01,493 # -70,92
2025-07-11 16:21:01,594 # -71,88
2025-07-11 16:21:01,603 # -72,84
2025-07-11 16:21:01,693 # -76,68
2025-07-11 16:21:01,805 # -75,72
2025-07-11 16:21:01,893 # -69,96
2025-07-11 16:21:01,996 # -70,92
2025-07-11 16:21:02,096 # -76,68
2025-07-11 16:21:02,196 # -72,84
2025-07-11 16:21:02,297 # -73,80
2025-07-11 16:21:02,398 # -78,60
2025-07-11 16:21:02,499 # -74,76
2025-07-11 16:21:02,598 # -76,68
2025-07-11 16:21:02,699 # -73,80
2025-07-11 16:21:02,801 # -74,76
2025-07-11 16:21:02,901 # -73,80
2025-07-11 16:21:03,002 # -74,76
2025-07-11 16:21:03,100 # -75,72
2025-07-11 16:21:03,202 # -73,80
2025-07-11 16:21:03,302 # -74,76
2025-07-11 16:21:03,404 # -74,76
2025-07-11 16:21:03,504 # -75,72
2025-07-11 16:21:03,608 # -75,72
2025-07-11 16:21:03,704 # -72,84
2025-07-11 16:21:03,806 # -72,84
2025-07-11 16:21:03,905 # -70,92
2025-07-11 16:21:04,006 # -78,60
2025-07-11 16:21:04,108 # -73,80
2025-07-11 16:21:04,207 # -69,96
2025-07-11 16:21:04,309 # -72,84
2025-07-11 16:21:04,408 # -71,88
2025-07-11 16:21:04,510 # -73,80
2025-07-11 16:21:04,610 # -72,84
2025-07-11 16:21:04,710 # -71,88
2025-07-11 16:21:04,811 # -74,76
2025-07-11 16:21:04,918 # -74,76
2025-07-11 16:21:05,013 # -73,80
2025-07-11 16:21:05,113 # -73,80
2025-07-11 16:21:05,217 # -73,80
2025-07-11 16:21:05,313 # -75,72
2025-07-11 16:21:05,414 # -75,72
2025-07-11 16:21:05,515 # -69,96
2025-07-11 16:21:05,616 # -71,88
2025-07-11 16:21:05,716 # -74,76
2025-07-11 16:21:05,816 # -72,84
2025-07-11 16:21:05,917 # -74,76
2025-07-11 16:21:06,019 # -73,80
2025-07-11 16:21:06,118 # -72,84
2025-07-11 16:21:06,219 # -71,88
2025-07-11 16:21:06,320 # -73,80
2025-07-11 16:21:06,427 # -72,84
2025-07-11 16:21:06,521 # -70,92
2025-07-11 16:21:06,622 # -73,80
2025-07-11 16:21:06,721 # -73,80
2025-07-11 16:21:06,826 # -72,84
2025-07-11 16:21:06,922 # -79,56
2025-07-11 16:21:07,023 # -78,60
2025-07-11 16:21:07,124 # -76,68
2025-07-11 16:21:07,226 # -77,64
2025-07-11 16:21:07,325 # -74,76
2025-07-11 16:21:07,425 # -72,84
2025-07-11 16:21:07,533 # -71,88
2025-07-11 16:21:07,626 # -71,88
2025-07-11 16:21:07,727 # -70,92
2025-07-11 16:21:07,831 # -70,92
2025-07-11 16:21:07,929 # -70,92
2025-07-11 16:21:08,029 # -70,92
2025-07-11 16:21:08,130 # -72,84
2025-07-11 16:21:08,230 # -71,88
2025-07-11 16:21:08,331 # -71,88
2025-07-11 16:21:08,430 # -73,80
2025-07-11 16:21:08,532 # -72,84
2025-07-11 16:21:08,637 # -72,84
2025-07-11 16:21:08,734 # -72,84
2025-07-11 16:21:08,834 # -73,80
2025-07-11 16:21:08,934 # -73,80
2025-07-11 16:21:09,035 # -73,80
2025-07-11 16:21:09,134 # -70,92
2025-07-11 16:21:09,241 # -69,96
2025-07-11 16:21:09,337 # -69,96
2025-07-11 16:21:09,437 # -69,96
2025-07-11 16:21:09,538 # -70,92
2025-07-11 16:21:09,638 # -70,92
2025-07-11 16:21:09,739 # -70,92
2025-07-11 16:21:09,840 # -71,88
2025-07-11 16:21:09,941 # -67,104
2025-07-11 16:21:10,041 # -71,88
2025-07-11 16:21:10,140 # -75,72
2025-07-11 16:21:10,240 # -71,88
2025-07-11 16:21:10,343 # -69,96
2025-07-11 16:21:10,443 # -72,84
2025-07-11 16:21:10,542 # -72,84
2025-07-11 16:21:10,644 # -73,80
2025-07-11 16:21:10,743 # -72,84
2025-07-11 16:21:10,844 # -72,84
2025-07-11 16:21:10,946 # -73,80
2025-07-11 16:21:11,046 # -76,68
2025-07-11 16:21:11,147 # -71,88
2025-07-11 16:21:11,246 # -69,96
2025-07-11 16:21:11,348 # -70,92
2025-07-11 16:21:11,447 # -75,72
2025-07-11 16:21:11,549 # -73,80
2025-07-11 16:21:11,649 # -73,80
2025-07-11 16:21:11,750 # -73,80
2025-07-11 16:21:11,850 # -71,88
2025-07-11 16:21:11,951 # -69,96
2025-07-11 16:21:12,052 # -70,92
2025-07-11 16:21:12,152 # -73,80
2025-07-11 16:21:12,253 # -70,92
2025-07-11 16:21:12,354 # -70,92
2025-07-11 16:21:12,453 # -72,84
2025-07-11 16:21:12,553 # -73,80
2025-07-11 16:21:12,656 # -74,76
2025-07-11 16:21:12,755 # -72,84
2025-07-11 16:21:12,863 # -71,88
2025-07-11 16:21:12,957 # -69,96
2025-07-11 16:21:13,056 # -69,96
2025-07-11 16:21:13,158 # -71,88
2025-07-11 16:21:13,257 # -72,84
2025-07-11 16:21:13,359 # -71,88
2025-07-11 16:21:13,459 # -70,92
2025-07-11 16:21:13,559 # -69,96
2025-07-11 16:21:13,661 # -68,100
2025-07-11 16:21:13,762 # -68,100
2025-07-11 16:21:13,861 # -70,92
2025-07-11 16:21:13,864 # -70,92
2025-07-11 16:21:13,962 # -72,84
2025-07-11 16:21:14,062 # -72,84
2025-07-11 16:21:14,164 # -70,92
2025-07-11 16:21:14,264 # -69,96
2025-07-11 16:21:14,364 # -68,100
2025-07-11 16:21:14,470 # -67,104
2025-07-11 16:21:14,566 # -66,108
2025-07-11 16:21:14,667 # -67,104
2025-07-11 16:21:14,768 # -68,100
2025-07-11 16:21:14,867 # -68,100
2025-07-11 16:21:14,967 # -67,104
2025-07-11 16:21:15,067 # -66,108
2025-07-11 16:21:15,168 # -65,112
2025-07-11 16:21:15,271 # -66,108
2025-07-11 16:21:15,369 # -67,104
2025-07-11 16:21:15,470 # -67,104
2025-07-11 16:21:15,580 # -66,108
2025-07-11 16:21:15,673 # -67,104
2025-07-11 16:21:15,771 # -68,100
2025-07-11 16:21:15,874 # -69,96
2025-07-11 16:21:15,972 # -69,96
2025-07-11 16:21:16,074 # -69,96
2025-07-11 16:21:16,174 # -68,100
2025-07-11 16:21:16,276 # -68,100
2025-07-11 16:21:16,376 # -69,96
2025-07-11 16:21:16,477 # -71,88
2025-07-11 16:21:16,576 # -72,84
2025-07-11 16:21:16,678 # -72,84
2025-07-11 16:21:16,777 # -70,92
2025-07-11 16:21:16,878 # -70,92
2025-07-11 16:21:16,979 # -69,96
2025-07-11 16:21:17,080 # -70,92
2025-07-11 16:21:17,180 # -69,96
2025-07-11 16:21:17,281 # -68,100
2025-07-11 16:21:17,381 # -68,100
2025-07-11 16:21:17,482 # -69,96
2025-07-11 16:21:17,582 # -68,100
2025-07-11 16:21:17,682 # -68,100
2025-07-11 16:21:17,785 # -68,100
2025-07-11 16:21:17,884 # -68,100
2025-07-11 16:21:17,985 # -68,100
2025-07-11 16:21:18,086 # -67,104
2025-07-11 16:21:18,187 # -66,108
2025-07-11 16:21:18,287 # -66,108
2025-07-11 16:21:18,388 # -66,108
2025-07-11 16:21:18,489 # -66,108
2025-07-11 16:21:18,589 # -66,108
2025-07-11 16:21:18,689 # -65,112
2025-07-11 16:21:18,790 # -64,116
2025-07-11 16:21:18,891 # -64,116
2025-07-11 16:21:18,990 # -65,112
