timestamp,rssi,lqi
1751725632,-85,32
1751725633,-84,36
1751725633,-76,68
1751725633,-79,56
1751725633,-79,56
1751725633,-75,72
1751725633,-83,40
1751725633,-91,8
1751725633,-82,44
1751725633,-82,44
1751725633,-80,52
1751725634,-80,52
1751725634,-78,60
1751725634,-80,52
1751725634,-77,64
1751725634,-81,48
1751725634,-74,76
1751725634,-78,60
1751725634,-84,36
1751725634,-85,32
1751725635,-79,56
1751725635,-80,52
1751725635,-82,44
1751725635,-92,4
1751725635,-87,24
1751725635,-81,48
1751725635,-88,20
1751725635,-91,8
1751725635,-90,12
1751725635,-90,12
1751725636,-90,12
1751725636,-88,20
1751725636,-89,16
1751725636,-87,24
1751725636,-91,8
1751725636,-91,8
1751725636,-84,36
1751725636,-82,44
1751725636,-83,40
1751725636,-88,20
1751725637,-82,44
1751725637,-83,40
1751725637,-84,36
1751725637,-80,52
1751725637,-84,36
1751725637,-90,12
1751725637,-85,32
1751725637,-79,56
1751725637,-78,60
1751725637,-78,60
1751725638,-77,64
1751725638,-77,64
1751725638,-77,64
1751725638,-78,60
1751725638,-79,56
1751725638,-79,56
1751725638,-80,52
1751725638,-82,44
1751725638,-84,36
1751725638,-85,32
1751725639,-86,28
1751725639,-88,20
1751725639,-88,20
1751725639,-87,24
1751725639,-86,28
1751725639,-86,28
1751725639,-84,36
1751725639,-83,40
1751725639,-84,36
1751725639,-85,32
1751725640,-77,64
1751725640,-81,48
1751725640,-80,52
1751725640,-79,56
1751725640,-81,48
1751725640,-80,52
1751725640,-84,36
1751725640,-81,48
1751725640,-79,56
1751725640,-79,56
1751725640,-78,60
1751725641,-82,44
1751725641,-79,56
1751725641,-84,36
1751725641,-80,52
1751725641,-80,52
1751725641,-81,48
1751725641,-84,36
1751725641,-85,32
1751725641,-82,44
1751725641,-84,36
1751725642,-82,44
1751725642,-82,44
1751725642,-83,40
1751725642,-82,44
1751725642,-82,44
1751725642,-85,32
1751725642,-88,20
1751725642,-85,32
1751725642,-82,44
1751725643,-77,64
1751725643,-75,72
1751725643,-77,64
1751725643,-79,56
1751725643,-80,52
1751725643,-82,44
1751725643,-80,52
1751725643,-75,72
1751725643,-74,76
1751725643,-83,40
1751725643,-77,64
1751725644,-85,32
1751725644,-78,60
1751725644,-78,60
1751725644,-78,60
1751725644,-75,72
1751725644,-77,64
1751725644,-75,72
1751725644,-78,60
1751725644,-78,60
1751725644,-77,64
1751725645,-82,44
1751725645,-74,76
1751725645,-79,56
1751725645,-81,48
1751725645,-82,44
1751725645,-82,44
1751725645,-81,48
1751725645,-82,44
1751725645,-86,28
1751725645,-83,40
1751725645,-85,32
1751725646,-87,24
1751725646,-87,24
1751725646,-81,48
1751725646,-86,28
1751725646,-86,28
1751725646,-91,8
1751725646,-81,48
1751725646,-85,32
1751725646,-87,24
1751725646,-85,32
1751725646,-86,28
1751725646,-86,28
1751725647,-84,36
1751725647,-83,40
1751725647,-80,52
1751725647,-90,12
1751725647,-92,4
1751725647,-79,56
1751725647,-84,36
1751725647,-85,32
1751725647,-89,16
1751725647,-85,32
1751725648,-81,48
1751725648,-79,56
1751725648,-81,48
1751725648,-86,28
1751725648,-90,12
1751725648,-89,16
1751725648,-92,4
1751725648,-92,4
1751725648,-90,12
1751725648,-89,16
1751725648,-90,12
1751725649,-90,12
1751725649,-84,36
1751725649,-88,20
1751725649,-92,4
1751725649,-87,24
1751725649,-85,32
1751725649,-86,28
1751725649,-84,36
1751725650,-85,32
1751725650,-80,52
1751725650,-80,52
1751725650,-82,44
1751725650,-80,52
1751725650,-80,52
1751725650,-81,48
1751725650,-82,44
1751725650,-83,40
1751725650,-83,40
1751725651,-83,40
1751725651,-84,36
1751725651,-85,32
1751725651,-82,44
1751725651,-84,36
1751725651,-80,52
1751725651,-77,64
1751725651,-86,28
1751725651,-80,52
1751725651,-81,48
1751725652,-82,44
1751725652,-82,44
1751725652,-82,44
1751725652,-80,52
1751725652,-83,40
1751725652,-84,36
1751725652,-82,44
1751725652,-86,28
1751725652,-90,12
1751725652,-91,8
1751725653,-87,24
1751725653,-87,24
1751725653,-87,24
1751725653,-87,24
1751725653,-87,24
1751725653,-90,12
1751725653,-84,36
1751725653,-83,40
1751725653,-85,32
1751725653,-82,44
1751725653,-81,48
1751725653,-81,48
1751725654,-80,52
1751725654,-81,48
1751725654,-80,52
1751725654,-80,52
1751725654,-80,52
1751725654,-80,52
1751725654,-85,32
1751725654,-85,32
1751725654,-83,40
1751725654,-82,44
1751725655,-82,44
1751725655,-82,44
1751725655,-83,40
1751725655,-80,52
1751725655,-85,32
1751725655,-82,44
1751725655,-84,36
1751725655,-83,40
1751725655,-89,16
1751725656,-84,36
1751725656,-84,36
1751725656,-92,4
1751725656,-89,16
1751725656,-89,16
1751725656,-90,12
1751725656,-83,40
1751725656,-82,44
1751725656,-80,52
1751725656,-81,48
1751725657,-84,36
1751725657,-85,32
1751725657,-88,20
1751725657,-86,28
1751725657,-84,36
1751725657,-85,32
1751725657,-82,44
1751725657,-80,52
1751725657,-81,48
1751725657,-84,36
1751725658,-91,8
1751725658,-79,56
1751725658,-87,24
1751725658,-83,40
1751725658,-84,36
1751725658,-82,44
1751725658,-84,36
1751725658,-85,32
1751725658,-81,48
1751725659,-82,44
1751725659,-91,8
1751725659,-78,60
1751725659,-84,36
1751725659,-83,40
1751725659,-89,16
1751725659,-90,12
1751725659,-88,20
1751725659,-85,32
1751725660,-83,40
1751725660,-83,40
1751725660,-84,36
1751725660,-86,28
1751725660,-88,20
1751725660,-85,32
1751725660,-86,28
1751725660,-84,36
1751725660,-84,36
1751725660,-84,36
1751725661,-85,32
1751725661,-86,28
1751725661,-88,20
