timestamp,rssi,lqi
1751736654,-88,20
1751736654,-86,28
1751736654,-85,32
1751736654,-85,32
1751736654,-85,32
1751736654,-85,32
1751736654,-85,32
1751736655,-86,28
1751736655,-86,28
1751736655,-85,32
1751736655,-86,28
1751736655,-85,32
1751736655,-85,32
1751736655,-85,32
1751736655,-87,24
1751736655,-86,28
1751736655,-85,32
1751736656,-86,28
1751736656,-86,28
1751736656,-85,32
1751736656,-86,28
1751736656,-86,28
1751736656,-87,24
1751736656,-86,28
1751736656,-87,24
1751736656,-87,24
1751736656,-88,20
1751736657,-86,28
1751736657,-87,24
1751736657,-88,20
1751736657,-88,20
1751736659,-89,16
1751736659,-89,16
1751736659,-89,16
1751736659,-89,16
1751736666,-87,24
1751736666,-89,16
1751736667,-92,4
1751736667,-86,28
1751736667,-86,28
1751736667,-83,40
1751736667,-83,40
1751736667,-82,44
1751736667,-81,48
1751736667,-82,44
1751736667,-84,36
1751736667,-85,32
1751736667,-85,32
1751736668,-84,36
1751736668,-85,32
1751736668,-84,36
1751736668,-87,24
1751736668,-89,16
1751736669,-90,12
1751736669,-85,32
1751736669,-79,56
1751736669,-79,56
1751736669,-82,44
1751736669,-84,36
1751736669,-83,40
1751736669,-81,48
1751736669,-79,56
1751736670,-83,40
1751736670,-79,56
1751736670,-83,40
1751736670,-78,60
1751736670,-86,28
1751736670,-85,32
1751736670,-90,12
1751736670,-87,24
1751736671,-89,16
1751736671,-84,36
1751736671,-88,20
1751736671,-90,12
1751736671,-91,8
1751736671,-93,0
1751736671,-93,0
1751736671,-92,4
1751736671,-87,24
1751736671,-85,32
1751736672,-83,40
1751736672,-85,32
1751736672,-83,40
1751736672,-78,60
1751736672,-79,56
1751736672,-80,52
1751736672,-83,40
1751736672,-87,24
1751736672,-78,60
1751736672,-77,64
1751736673,-78,60
1751736673,-81,48
1751736673,-91,8
1751736673,-83,40
1751736673,-86,28
1751736673,-84,36
1751736673,-84,36
1751736673,-80,52
1751736673,-79,56
1751736673,-83,40
1751736674,-82,44
1751736674,-86,28
1751736674,-87,24
1751736674,-89,16
1751736674,-85,32
1751736674,-84,36
1751736674,-90,12
1751736674,-87,24
1751736674,-83,40
1751736674,-83,40
1751736674,-84,36
1751736675,-83,40
1751736675,-83,40
1751736676,-85,32
1751736676,-82,44
1751736676,-83,40
1751736676,-82,44
1751736676,-84,36
1751736676,-85,32
1751736676,-85,32
1751736677,-87,24
1751736677,-89,16
1751736677,-90,12
1751736677,-93,0
1751736678,-92,4
1751736678,-81,48
1751736678,-82,44
1751736678,-82,44
1751736678,-82,44
1751736678,-83,40
1751736678,-82,44
1751736679,-83,40
1751736679,-84,36
1751736679,-85,32
1751736679,-86,28
1751736679,-88,20
1751736679,-88,20
1751736679,-88,20
1751736679,-83,40
1751736679,-82,44
1751736679,-81,48
1751736680,-81,48
1751736680,-80,52
1751736680,-80,52
1751736680,-80,52
1751736680,-80,52
1751736680,-79,56
1751736680,-81,48
1751736680,-84,36
1751736680,-87,24
1751736680,-89,16
1751736681,-88,20
1751736681,-91,8
1751736681,-89,16
1751736681,-89,16
1751736681,-84,36
1751736681,-81,48
1751736681,-78,60
1751736682,-78,60
1751736682,-79,56
1751736682,-77,64
1751736682,-76,68
1751736682,-81,48
1751736682,-87,24
1751736682,-93,0
1751736682,-81,48
1751736682,-81,48
1751736683,-86,28
1751736683,-77,64
1751736683,-75,72
1751736683,-79,56
1751736683,-82,44
1751736683,-80,52
1751736683,-78,60
1751736683,-78,60
1751736683,-78,60
1751736683,-78,60
1751736684,-77,64
1751736684,-77,64
1751736684,-77,64
1751736684,-73,80
1751736684,-80,52
1751736684,-77,64
1751736684,-89,16
1751736684,-82,44
1751736684,-82,44
1751736684,-86,28
1751736685,-87,24
1751736685,-85,32
1751736685,-82,44
1751736685,-89,16
1751736685,-90,12
1751736685,-85,32
1751736685,-79,56
1751736685,-80,52
1751736685,-82,44
1751736685,-86,28
1751736686,-87,24
1751736686,-81,48
1751736686,-81,48
1751736686,-80,52
1751736686,-87,24
1751736686,-90,12
1751736686,-83,40
1751736686,-84,36
1751736686,-83,40
1751736686,-87,24
1751736686,-92,4
1751736687,-88,20
1751736687,-83,40
1751736687,-80,52
1751736687,-78,60
1751736687,-78,60
1751736687,-77,64
1751736687,-78,60
1751736687,-78,60
1751736687,-83,40
1751736687,-81,48
1751736688,-91,8
1751736688,-78,60
1751736688,-79,56
1751736688,-81,48
1751736688,-81,48
1751736688,-80,52
1751736688,-86,28
1751736688,-84,36
1751736688,-90,12
1751736689,-87,24
1751736689,-83,40
1751736689,-83,40
1751736689,-80,52
1751736689,-81,48
1751736689,-79,56
1751736689,-78,60
1751736689,-79,56
1751736689,-79,56
1751736689,-82,44
1751736690,-83,40
1751736690,-84,36
1751736690,-84,36
1751736690,-84,36
1751736690,-84,36
1751736690,-85,32
1751736690,-88,20
1751736690,-84,36
1751736690,-84,36
1751736690,-84,36
1751736690,-84,36
1751736691,-86,28
1751736691,-85,32
1751736691,-83,40
1751736691,-82,44
1751736691,-82,44
1751736691,-82,44
1751736691,-82,44
1751736691,-82,44
1751736691,-82,44
1751736691,-85,32
1751736692,-87,24
1751736692,-90,12
1751736692,-85,32
1751736692,-84,36
1751736692,-85,32
1751736692,-83,40
1751736692,-85,32
1751736692,-86,28
1751736692,-85,32
1751736692,-82,44
1751736692,-82,44
1751736693,-82,44
1751736693,-81,48
1751736693,-83,40
1751736693,-84,36
1751736693,-85,32
1751736693,-87,24
1751736693,-88,20
1751736693,-89,16
1751736693,-87,24
1751736693,-87,24
1751736694,-86,28
1751736694,-88,20
1751736694,-88,20
1751736694,-85,32
1751736694,-84,36
1751736694,-85,32
1751736694,-85,32
1751736694,-85,32
1751736694,-86,28
1751736694,-84,36
1751736695,-85,32
1751736695,-86,28
1751736695,-89,16
1751736695,-93,0
1751736695,-93,0
1751736695,-92,4
1751736695,-92,4
1751736695,-92,4
1751736695,-90,12
1751736695,-90,12
1751736696,-91,8
1751736696,-91,8
1751736696,-91,8
1751736696,-91,8
1751736696,-90,12
1751736696,-91,8
1751736696,-90,12
1751736696,-93,0
1751736696,-93,0
1751736696,-91,8
1751736697,-93,0
1751736697,-92,4
1751736697,-93,0
1751736697,-93,0
1751736697,-93,0
1751736697,-92,4
1751736697,-91,8
1751736698,-92,4
1751736698,-93,0
1751736698,-86,28
1751736698,-87,24
1751736698,-88,20
1751736698,-91,8
1751736698,-91,8
1751736698,-88,20
1751736698,-85,32
1751736698,-88,20
1751736698,-86,28
1751736699,-88,20
1751736699,-87,24
1751736699,-92,4
1751736699,-89,16
1751736699,-91,8
1751736699,-88,20
1751736699,-88,20
1751736699,-88,20
1751736699,-87,24
1751736699,-87,24
1751736700,-89,16
1751736700,-87,24
1751736700,-89,16
1751736700,-89,16
1751736700,-90,12
1751736700,-91,8
1751736700,-91,8
1751736700,-90,12
1751736700,-90,12
1751736700,-86,28
1751736700,-88,20
1751736701,-88,20
1751736701,-86,28
1751736701,-86,28
1751736701,-86,28
1751736701,-87,24
1751736701,-89,16
1751736701,-88,20
1751736701,-88,20
1751736701,-88,20
1751736701,-87,24
1751736702,-88,20
1751736702,-88,20
1751736702,-88,20
1751736702,-88,20
1751736702,-85,32
1751736702,-85,32
1751736702,-85,32
1751736702,-87,24
1751736702,-86,28
1751736702,-86,28
1751736703,-87,24
1751736703,-87,24
1751736703,-86,28
1751736703,-88,20
1751736703,-87,24
1751736703,-87,24
1751736703,-87,24
1751736703,-85,32
1751736703,-87,24
1751736703,-87,24
1751736703,-87,24
1751736704,-85,32
1751736704,-86,28
1751736704,-87,24
1751736704,-86,28
1751736704,-86,28
1751736704,-86,28
1751736704,-87,24
1751736704,-86,28
1751736704,-88,20
1751736704,-89,16
1751736705,-88,20
1751736705,-88,20
1751736705,-89,16
1751736705,-90,12
1751736705,-89,16
1751736705,-89,16
1751736705,-91,8
1751736705,-90,12
1751736705,-90,12
1751736705,-90,12
1751736705,-87,24
1751736705,-87,24
1751736706,-87,24
1751736706,-89,16
1751736706,-88,20
1751736706,-86,28
1751736706,-86,28
1751736706,-87,24
1751736706,-90,12
1751736706,-89,16
1751736706,-92,4
1751736706,-88,20
1751736707,-89,16
1751736707,-86,28
1751736707,-85,32
1751736707,-91,8
1751736707,-90,12
1751736707,-87,24
1751736707,-90,12
1751736707,-86,28
1751736707,-86,28
1751736707,-87,24
1751736708,-86,28
1751736708,-87,24
1751736708,-86,28
1751736708,-85,32
1751736708,-88,20
1751736708,-84,36
1751736708,-87,24
1751736708,-87,24
1751736708,-85,32
1751736708,-86,28
1751736709,-92,4
1751736709,-93,0
1751736709,-89,16
1751736709,-89,16
1751736709,-83,40
1751736709,-84,36
1751736709,-85,32
1751736709,-85,32
1751736709,-86,28
1751736709,-86,28
1751736709,-85,32
1751736710,-86,28
1751736710,-88,20
1751736710,-87,24
1751736710,-90,12
1751736710,-90,12
1751736710,-89,16
1751736710,-91,8
1751736710,-89,16
1751736710,-89,16
1751736710,-91,8
1751736711,-93,0
1751736711,-91,8
1751736711,-88,20
1751736711,-87,24
1751736711,-91,8
1751736711,-86,28
1751736711,-89,16
1751736711,-89,16
1751736711,-90,12
1751736711,-90,12
1751736712,-85,32
1751736712,-86,28
1751736712,-86,28
1751736712,-87,24
1751736712,-88,20
1751736712,-85,32
1751736712,-85,32
1751736712,-85,32
1751736712,-87,24
1751736712,-88,20
1751736713,-88,20
1751736713,-89,16
1751736713,-88,20
1751736713,-87,24
1751736713,-88,20
1751736713,-88,20
1751736713,-88,20
1751736713,-89,16
1751736713,-88,20
1751736713,-88,20
1751736713,-88,20
1751736714,-85,32
1751736714,-85,32
1751736714,-86,28
1751736714,-86,28
1751736714,-88,20
1751736714,-89,16
1751736714,-88,20
1751736714,-90,12
1751736714,-87,24
1751736714,-89,16
1751736715,-91,8
1751736715,-91,8
1751736715,-90,12
1751736715,-89,16
1751736715,-88,20
1751736715,-86,28
1751736715,-86,28
1751736715,-88,20
1751736715,-88,20
1751736715,-88,20
1751736716,-88,20
1751736716,-89,16
1751736716,-87,24
1751736716,-87,24
1751736716,-87,24
1751736716,-86,28
1751736716,-87,24
1751736716,-90,12
1751736716,-88,20
1751736716,-89,16
1751736716,-90,12
1751736717,-90,12
1751736717,-91,8
1751736717,-92,4
1751736717,-93,0
1751736717,-93,0
1751736717,-93,0
1751736717,-93,0
1751736717,-93,0
1751736717,-91,8
1751736718,-91,8
1751736718,-93,0
1751736718,-93,0
1751736718,-93,0
1751736718,-93,0
1751736718,-93,0
1751736718,-93,0
1751736718,-93,0
1751736718,-93,0
1751736719,-93,0
1751736719,-93,0
1751736719,-93,0
1751736719,-93,0
1751736719,-93,0
1751736719,-93,0
1751736719,-93,0
1751736720,-93,0
1751736720,-93,0
1751736720,-93,0
1751736720,-93,0
1751736720,-93,0
1751736720,-93,0
1751736720,-93,0
1751736720,-93,0
1751736720,-93,0
1751736721,-93,0
1751736721,-93,0
1751736721,-93,0
1751736721,-93,0
1751736721,-93,0
1751736721,-93,0
1751736722,-93,0
1751736722,-93,0
1751736722,-92,4
1751736722,-92,4
1751736722,-93,0
1751736722,-93,0
1751736722,-93,0
1751736722,-93,0
1751736722,-93,0
1751736722,-93,0
1751736722,-93,0
1751736722,-93,0
1751736723,-91,8
1751736723,-88,20
1751736723,-91,8
1751736723,-93,0
1751736723,-92,4
1751736723,-92,4
1751736723,-92,4
1751736723,-93,0
1751736723,-92,4
1751736723,-93,0
1751736723,-92,4
1751736724,-91,8
1751736724,-93,0
1751736724,-93,0
1751736724,-93,0
1751736724,-93,0
1751736724,-93,0
1751736724,-93,0
1751736724,-93,0
1751736724,-93,0
1751736724,-92,4
1751736725,-93,0
1751736725,-93,0
1751736725,-93,0
1751736725,-93,0
1751736725,-93,0
1751736725,-93,0
1751736725,-93,0
1751736725,-92,4
1751736725,-89,16
1751736725,-86,28
1751736726,-85,32
1751736726,-86,28
1751736726,-89,16
1751736726,-87,24
1751736726,-88,20
1751736726,-92,4
1751736726,-89,16
1751736726,-89,16
1751736726,-86,28
1751736726,-91,8
1751736727,-88,20
1751736727,-89,16
1751736727,-88,20
1751736727,-85,32
1751736727,-88,20
1751736727,-88,20
1751736727,-90,12
1751736727,-92,4
1751736727,-91,8
1751736727,-91,8
1751736727,-90,12
1751736728,-90,12
1751736728,-92,4
1751736728,-93,0
1751736728,-93,0
1751736728,-93,0
1751736728,-91,8
1751736728,-90,12
