timestamp,rssi,lqi
1751727962,-83,40
1751727962,-85,32
1751727962,-88,20
1751727962,-89,16
1751727962,-88,20
1751727962,-92,4
1751727963,-93,0
1751727963,-90,12
1751727963,-86,28
1751727963,-84,36
1751727963,-83,40
1751727963,-83,40
1751727963,-86,28
1751727963,-87,24
1751727963,-86,28
1751727964,-88,20
1751727964,-85,32
1751727964,-86,28
1751727964,-80,52
1751727964,-77,64
1751727964,-77,64
1751727964,-79,56
1751727964,-80,52
1751727964,-82,44
1751727964,-81,48
1751727965,-81,48
1751727965,-85,32
1751727965,-92,4
1751727965,-85,32
1751727965,-85,32
1751727965,-88,20
1751727965,-91,8
1751727965,-89,16
1751727965,-86,28
1751727965,-84,36
1751727966,-88,20
1751727966,-82,44
1751727966,-81,48
1751727966,-81,48
1751727966,-80,52
1751727966,-80,52
1751727966,-82,44
1751727966,-81,48
1751727966,-85,32
1751727966,-79,56
1751727967,-75,72
1751727967,-77,64
1751727967,-82,44
1751727967,-82,44
1751727967,-79,56
1751727967,-77,64
1751727967,-79,56
1751727967,-81,48
1751727967,-82,44
1751727967,-83,40
1751727967,-81,48
1751727968,-77,64
1751727968,-75,72
1751727968,-75,72
1751727968,-75,72
1751727968,-75,72
1751727968,-75,72
1751727968,-75,72
1751727968,-76,68
1751727968,-76,68
1751727968,-77,64
1751727969,-77,64
1751727969,-78,60
1751727969,-79,56
1751727969,-78,60
1751727969,-76,68
1751727969,-77,64
1751727969,-79,56
1751727969,-80,52
1751727969,-82,44
1751727969,-85,32
1751727970,-80,52
1751727970,-79,56
1751727970,-84,36
1751727970,-87,24
1751727970,-86,28
1751727970,-82,44
1751727970,-79,56
1751727970,-80,52
1751727970,-79,56
1751727970,-79,56
1751727971,-78,60
1751727971,-78,60
1751727971,-78,60
1751727971,-78,60
1751727971,-77,64
1751727971,-76,68
1751727971,-74,76
1751727971,-73,80
1751727971,-74,76
1751727971,-75,72
1751727972,-75,72
1751727972,-78,60
1751727972,-83,40
1751727972,-84,36
1751727972,-87,24
1751727972,-86,28
1751727972,-86,28
1751727972,-89,16
1751727972,-88,20
1751727972,-91,8
1751727973,-91,8
1751727973,-86,28
1751727973,-83,40
1751727973,-83,40
1751727973,-80,52
1751727973,-77,64
