timestamp_ms,rssi,lqi
1751736654356,-88,20
1751736654446,-86,28
1751736654543,-85,32
1751736654644,-85,32
1751736654751,-85,32
1751736654845,-85,32
1751736654944,-85,32
1751736655047,-86,28
1751736655146,-86,28
1751736655249,-85,32
1751736655350,-86,28
1751736655448,-85,32
1751736655548,-85,32
1751736655650,-85,32
1751736655749,-87,24
1751736655850,-86,28
1751736655952,-85,32
1751736656052,-86,28
1751736656166,-86,28
1751736656253,-85,32
1751736656354,-86,28
1751736656454,-86,28
1751736656561,-87,24
1751736656657,-86,28
1751736656762,-87,24
1751736656855,-87,24
1751736656962,-88,20
1751736657159,-86,28
1751736657262,-87,24
1751736657364,-88,20
1751736657460,-88,20
1751736659185,-89,16
1751736659272,-89,16
1751736659371,-89,16
1751736659887,-89,16
1751736666325,-87,24
1751736666932,-89,16
1751736667015,-92,4
1751736667120,-86,28
1751736667222,-86,28
1751736667314,-83,40
1751736667319,-83,40
1751736667431,-82,44
1751736667516,-81,48
1751736667624,-82,44
1751736667719,-84,36
1751736667819,-85,32
1751736667922,-85,32
1751736668021,-84,36
1751736668122,-85,32
1751736668222,-84,36
1751736668323,-87,24
1751736668424,-89,16
1751736669140,-90,12
1751736669227,-85,32
1751736669328,-79,56
1751736669428,-79,56
1751736669529,-82,44
1751736669632,-84,36
1751736669738,-83,40
1751736669832,-81,48
1751736669931,-79,56
1751736670031,-83,40
1751736670133,-79,56
1751736670232,-83,40
1751736670333,-78,60
1751736670435,-86,28
1751736670533,-85,32
1751736670836,-90,12
1751736670935,-87,24
1751736671037,-89,16
1751736671138,-84,36
1751736671238,-88,20
1751736671338,-90,12
1751736671440,-91,8
1751736671539,-93,0
1751736671643,-93,0
1751736671740,-92,4
1751736671841,-87,24
1751736671953,-85,32
1751736672044,-83,40
1751736672142,-85,32
1751736672249,-83,40
1751736672344,-78,60
1751736672445,-79,56
1751736672544,-80,52
1751736672646,-83,40
1751736672748,-87,24
1751736672847,-78,60
1751736672950,-77,64
1751736673056,-78,60
1751736673149,-81,48
1751736673251,-91,8
1751736673350,-83,40
1751736673451,-86,28
1751736673551,-84,36
1751736673653,-84,36
1751736673751,-80,52
1751736673860,-79,56
1751736673956,-83,40
1751736674055,-82,44
1751736674158,-86,28
1751736674163,-87,24
1751736674264,-89,16
1751736674355,-85,32
1751736674455,-84,36
1751736674562,-90,12
1751736674656,-87,24
1751736674758,-83,40
1751736674859,-83,40
1751736674960,-84,36
1751736675061,-83,40
1751736675161,-83,40
1751736676474,-85,32
1751736676567,-82,44
1751736676571,-83,40
1751736676668,-82,44
1751736676771,-84,36
1751736676873,-85,32
1751736676969,-85,32
1751736677072,-87,24
1751736677174,-89,16
1751736677271,-90,12
1751736677384,-93,0
1751736678493,-92,4
1751736678579,-81,48
1751736678581,-82,44
1751736678679,-82,44
1751736678781,-82,44
1751736678881,-83,40
1751736678982,-82,44
1751736679082,-83,40
1751736679185,-84,36
1751736679284,-85,32
1751736679393,-86,28
1751736679490,-88,20
1751736679685,-88,20
1751736679691,-88,20
1751736679785,-83,40
1751736679885,-82,44
1751736679988,-81,48
1751736680088,-81,48
1751736680188,-80,52
1751736680290,-80,52
1751736680392,-80,52
1751736680490,-80,52
1751736680596,-79,56
1751736680692,-81,48
1751736680791,-84,36
1751736680894,-87,24
1751736680993,-89,16
1751736681195,-88,20
1751736681293,-91,8
1751736681497,-89,16
1751736681597,-89,16
1751736681702,-84,36
1751736681797,-81,48
1751736681898,-78,60
1751736682000,-78,60
1751736682100,-79,56
1751736682200,-77,64
1751736682300,-76,68
1751736682400,-81,48
1751736682503,-87,24
1751736682602,-93,0
1751736682805,-81,48
1751736682904,-81,48
1751736683003,-86,28
1751736683111,-77,64
1751736683206,-75,72
1751736683313,-79,56
1751736683408,-82,44
1751736683506,-80,52
1751736683614,-78,60
1751736683722,-78,60
1751736683811,-78,60
1751736683909,-78,60
1751736684012,-77,64
1751736684112,-77,64
1751736684211,-77,64
1751736684312,-73,80
1751736684414,-80,52
1751736684512,-77,64
1751736684616,-89,16
1751736684714,-82,44
1751736684815,-82,44
1751736684915,-86,28
1751736685022,-87,24
1751736685117,-85,32
1751736685217,-82,44
1751736685316,-89,16
1751736685441,-90,12
1751736685518,-85,32
1751736685621,-79,56
1751736685719,-80,52
1751736685820,-82,44
1751736685921,-86,28
1751736686023,-87,24
1751736686121,-81,48
1751736686223,-81,48
1751736686323,-80,52
1751736686424,-87,24
1751736686523,-90,12
1751736686627,-83,40
1751736686630,-84,36
1751736686726,-83,40
1751736686826,-87,24
1751736686931,-92,4
1751736687028,-88,20
1751736687128,-83,40
1751736687229,-80,52
1751736687334,-78,60
1751736687438,-78,60
1751736687531,-77,64
1751736687632,-78,60
1751736687731,-78,60
1751736687832,-83,40
1751736687931,-81,48
1751736688033,-91,8
1751736688138,-78,60
1751736688234,-79,56
1751736688333,-81,48
1751736688435,-81,48
1751736688535,-80,52
1751736688635,-86,28
1751736688747,-84,36
1751736688840,-90,12
1751736689038,-87,24
1751736689140,-83,40
1751736689241,-83,40
1751736689340,-80,52
1751736689441,-81,48
1751736689541,-79,56
1751736689644,-78,60
1751736689745,-79,56
1751736689843,-79,56
1751736689942,-82,44
1751736690050,-83,40
1751736690145,-84,36
1751736690247,-84,36
1751736690253,-84,36
1751736690347,-84,36
1751736690446,-85,32
1751736690553,-88,20
1751736690648,-84,36
1751736690750,-84,36
1751736690850,-84,36
1751736690951,-84,36
1751736691050,-86,28
1751736691154,-85,32
1751736691257,-83,40
1751736691353,-82,44
1751736691454,-82,44
1751736691553,-82,44
1751736691653,-82,44
1751736691755,-82,44
1751736691853,-82,44
1751736691955,-85,32
1751736692056,-87,24
1751736692157,-90,12
