timestamp_ms,rssi,lqi
1751729937079,-72,84
1751729937180,-72,84
1751729937281,-70,92
1751729937381,-72,84
1751729937482,-85,32
1751729937581,-71,88
1751729937682,-72,84
1751729937783,-70,92
1751729937882,-71,88
1751729937985,-69,96
1751729938084,-71,88
1751729938184,-71,88
1751729938286,-75,72
1751729938387,-75,72
1751729938488,-71,88
1751729938589,-72,84
1751729938687,-73,80
1751729938789,-71,88
1751729938890,-73,80
1751729938991,-72,84
1751729939090,-72,84
1751729939195,-72,84
1751729939292,-70,92
1751729939391,-71,88
1751729939493,-69,96
1751729939593,-70,92
1751729939694,-69,96
1751729939795,-72,84
1751729939895,-75,72
1751729939996,-75,72
1751729940097,-74,76
1751729940196,-75,72
1751729940296,-76,68
1751729940398,-70,92
1751729940501,-71,88
1751729940598,-71,88
1751729940700,-71,88
1751729940799,-73,80
1751729940900,-72,84
1751729941002,-71,88
1751729941103,-73,80
1751729941202,-75,72
1751729941308,-71,88
1751729941405,-70,92
1751729941504,-69,96
1751729941606,-70,92
1751729941705,-70,92
1751729941812,-72,84
1751729941907,-70,92
1751729942006,-71,88
1751729942108,-70,92
1751729942207,-68,100
1751729942309,-69,96
1751729942409,-69,96
1751729942511,-70,92
1751729942610,-71,88
1751729942712,-72,84
1751729942812,-73,80
1751729942913,-72,84
1751729943014,-71,88
1751729943113,-70,92
1751729943214,-74,76
1751729943314,-74,76
1751729943415,-73,80
1751729943515,-72,84
1751729943615,-73,80
1751729943717,-73,80
1751729943818,-73,80
1751729943917,-77,64
1751729944017,-79,56
1751729944118,-86,28
1751729944219,-81,48
1751729944321,-75,72
1751729944420,-77,64
1751729944522,-82,44
1751729944620,-89,16
1751729944723,-80,52
1751729944823,-87,24
1751729944829,-84,36
1751729944922,-82,44
1751729945025,-86,28
1751729945125,-76,68
1751729945226,-77,64
1751729945325,-79,56
1751729945426,-77,64
1751729945527,-76,68
1751729945626,-88,20
1751729945631,-86,28
1751729945634,-85,32
1751729945728,-73,80
1751729945829,-69,96
1751729945934,-71,88
1751729946031,-76,68
1751729946129,-69,96
1751729946230,-67,104
1751729946331,-63,120
1751729946432,-67,104
1751729946533,-68,100
1751729946632,-65,112
1751729946733,-64,116
1751729946835,-64,116
1751729946935,-68,100
1751729947034,-87,24
1751729947039,-88,20
