/home/kerouac/RIOT/dist/tools/pyterm/pyterm -p "/dev/ttyACM0" -b "115200" -ln "/tmp/pyterm-kerouac" -rn "2025-07-05_16.26.59-pkt_logger-adafruit-feather-nrf52840-sense"  
2025-07-05 16:27:00,172 # Connect to serial port /dev/ttyACM0
Welcome to pyterm!
Type '/exit' to exit.
2025-07-05 16:27:07,916 # help
2025-07-05 16:27:07,918 # Command              Description
2025-07-05 16:27:07,920 # ---------------------------------------
2025-07-05 16:27:07,922 # target_add           Add IPv6 target for sending packets
2025-07-05 16:27:07,924 # send                 Control sender: send start|stop
2025-07-05 16:27:07,927 # status               Show sender status and target list
2025-07-05 16:27:07,928 # ping                 Ping via ICMPv6
2025-07-05 16:27:07,930 # nib                  Configure neighbor information base
2025-07-05 16:27:07,932 # ifconfig             Configure network interfaces
2025-07-05 16:27:07,935 # 6ctx                 6LoWPAN context configuration tool
2025-07-05 16:27:07,937 # pm                   interact with layered PM subsystem
2025-07-05 16:27:07,939 # version              Prints current RIOT_VERSION
2025-07-05 16:27:07,941 # bootloader           Reboot to bootloader
2025-07-05 16:27:07,943 # reboot               Reboot the node
2025-07-05 16:27:27,145 # -78,60
2025-07-05 16:27:27,246 # -80,52
2025-07-05 16:27:27,346 # -74,76
2025-07-05 16:27:27,448 # -79,56
2025-07-05 16:27:27,549 # -89,16
2025-07-05 16:27:27,649 # -84,36
2025-07-05 16:27:27,749 # -82,44
2025-07-05 16:27:27,849 # -77,64
2025-07-05 16:27:27,952 # -74,76
2025-07-05 16:27:28,051 # -73,80
2025-07-05 16:27:28,151 # -72,84
2025-07-05 16:27:28,258 # -78,60
2025-07-05 16:27:28,353 # -79,56
2025-07-05 16:27:28,454 # -73,80
2025-07-05 16:27:28,554 # -74,76
2025-07-05 16:27:28,656 # -73,80
2025-07-05 16:27:28,755 # -73,80
2025-07-05 16:27:28,857 # -77,64
2025-07-05 16:27:28,955 # -77,64
2025-07-05 16:27:29,058 # -77,64
2025-07-05 16:27:29,156 # -76,68
2025-07-05 16:27:29,257 # -73,80
2025-07-05 16:27:29,359 # -74,76
2025-07-05 16:27:29,460 # -76,68
2025-07-05 16:27:29,561 # -75,72
2025-07-05 16:27:29,661 # -75,72
2025-07-05 16:27:29,768 # -75,72
2025-07-05 16:27:29,862 # -75,72
2025-07-05 16:27:29,961 # -76,68
2025-07-05 16:27:30,070 # -75,72
2025-07-05 16:27:30,163 # -74,76
2025-07-05 16:27:30,265 # -74,76
2025-07-05 16:27:30,365 # -75,72
2025-07-05 16:27:30,466 # -74,76
2025-07-05 16:27:30,469 # -74,76
2025-07-05 16:27:30,566 # -75,72
2025-07-05 16:27:30,667 # -76,68
2025-07-05 16:27:30,768 # -75,72
2025-07-05 16:27:30,868 # -77,64
2025-07-05 16:27:30,969 # -77,64
2025-07-05 16:27:31,068 # -75,72
2025-07-05 16:27:31,169 # -73,80
2025-07-05 16:27:31,270 # -73,80
2025-07-05 16:27:31,369 # -73,80
2025-07-05 16:27:31,470 # -73,80
2025-07-05 16:27:31,571 # -75,72
2025-07-05 16:27:31,673 # -77,64
2025-07-05 16:27:31,773 # -75,72
2025-07-05 16:27:31,873 # -76,68
2025-07-05 16:27:31,975 # -77,64
2025-07-05 16:27:32,074 # -77,64
2025-07-05 16:27:32,174 # -78,60
2025-07-05 16:27:32,274 # -79,56
2025-07-05 16:27:32,375 # -76,68
2025-07-05 16:27:32,476 # -77,64
2025-07-05 16:27:32,576 # -77,64
2025-07-05 16:27:32,679 # -77,64
2025-07-05 16:27:32,777 # -77,64
2025-07-05 16:27:32,879 # -78,60
2025-07-05 16:27:32,980 # -78,60
2025-07-05 16:27:33,081 # -78,60
2025-07-05 16:27:33,182 # -79,56
2025-07-05 16:27:33,280 # -79,56
2025-07-05 16:27:33,383 # -77,64
2025-07-05 16:27:33,482 # -79,56
2025-07-05 16:27:33,584 # -78,60
2025-07-05 16:27:33,683 # -79,56
2025-07-05 16:27:33,784 # -81,48
2025-07-05 16:27:33,885 # -79,56
2025-07-05 16:27:33,985 # -79,56
2025-07-05 16:27:34,085 # -81,48
2025-07-05 16:27:34,186 # -81,48
2025-07-05 16:27:34,288 # -79,56
2025-07-05 16:27:34,397 # -78,60
2025-07-05 16:27:34,487 # -79,56
2025-07-05 16:27:34,589 # -79,56
2025-07-05 16:27:34,602 # -79,56
2025-07-05 16:27:34,689 # -79,56
2025-07-05 16:27:34,791 # -79,56
2025-07-05 16:27:34,889 # -79,56
2025-07-05 16:27:34,991 # -79,56
2025-07-05 16:27:35,091 # -80,52
2025-07-05 16:27:35,192 # -80,52
2025-07-05 16:27:35,292 # -81,48
2025-07-05 16:27:35,394 # -80,52
2025-07-05 16:27:35,493 # -79,56
2025-07-05 16:27:35,597 # -78,60
2025-07-05 16:27:35,695 # -78,60
2025-07-05 16:27:35,794 # -79,56
2025-07-05 16:27:35,896 # -79,56
2025-07-05 16:27:35,900 # -79,56
2025-07-05 16:27:36,003 # -78,60
2025-07-05 16:27:36,097 # -79,56
2025-07-05 16:27:36,197 # -79,56
2025-07-05 16:27:36,298 # -80,52
2025-07-05 16:27:36,397 # -81,48
2025-07-05 16:27:36,498 # -80,52
2025-07-05 16:27:36,601 # -79,56
2025-07-05 16:27:36,700 # -79,56
2025-07-05 16:27:36,804 # -78,60
2025-07-05 16:27:36,807 # -78,60
2025-07-05 16:27:36,902 # -78,60
2025-07-05 16:27:37,002 # -79,56
2025-07-05 16:27:37,101 # -80,52
2025-07-05 16:27:37,204 # -80,52
2025-07-05 16:27:37,305 # -80,52
2025-07-05 16:27:37,404 # -77,64
2025-07-05 16:27:37,504 # -75,72
2025-07-05 16:27:37,606 # -76,68
2025-07-05 16:27:37,705 # -77,64
2025-07-05 16:27:37,812 # -78,60
2025-07-05 16:27:37,908 # -76,68
2025-07-05 16:27:38,007 # -78,60
2025-07-05 16:27:38,109 # -75,72
2025-07-05 16:27:38,210 # -75,72
2025-07-05 16:27:38,309 # -75,72
2025-07-05 16:27:38,315 # -75,72
2025-07-05 16:27:38,410 # -77,64
2025-07-05 16:27:38,510 # -75,72
2025-07-05 16:27:38,610 # -75,72
2025-07-05 16:27:38,712 # -74,76
2025-07-05 16:27:38,812 # -76,68
2025-07-05 16:27:38,916 # -78,60
2025-07-05 16:27:39,014 # -79,56
2025-07-05 16:27:39,116 # -79,56
2025-07-05 16:27:39,214 # -75,72
2025-07-05 16:27:39,316 # -83,40
2025-07-05 16:27:39,416 # -76,68
2025-07-05 16:27:39,516 # -82,44
2025-07-05 16:27:39,624 # -80,52
2025-07-05 16:27:39,718 # -76,68
2025-07-05 16:27:39,825 # -80,52
2025-07-05 16:27:39,919 # -78,60
2025-07-05 16:27:40,019 # -75,72
2025-07-05 16:27:40,121 # -77,64
2025-07-05 16:27:40,222 # -80,52
2025-07-05 16:27:40,321 # -78,60
2025-07-05 16:27:40,423 # -81,48
2025-07-05 16:27:40,522 # -78,60
2025-07-05 16:27:40,622 # -80,52
2025-07-05 16:27:40,724 # -80,52
2025-07-05 16:27:40,823 # -85,32
2025-07-05 16:27:40,926 # -78,60
2025-07-05 16:27:41,026 # -76,68
2025-07-05 16:27:41,125 # -77,64
2025-07-05 16:27:41,226 # -76,68
2025-07-05 16:27:41,327 # -81,48
2025-07-05 16:27:41,427 # -78,60
2025-07-05 16:27:41,527 # -80,52
2025-07-05 16:27:41,629 # -83,40
2025-07-05 16:27:41,730 # -78,60
2025-07-05 16:27:41,829 # -81,48
2025-07-05 16:27:41,929 # -82,44
2025-07-05 16:27:41,933 # -81,48
2025-07-05 16:27:42,032 # -83,40
2025-07-05 16:27:42,130 # -86,28
2025-07-05 16:27:42,232 # -93,0
2025-07-05 16:27:42,333 # -87,24
2025-07-05 16:27:42,434 # -85,32
2025-07-05 16:27:42,635 # -87,24
2025-07-05 16:27:42,735 # -83,40
2025-07-05 16:27:42,834 # -82,44
2025-07-05 16:27:42,935 # -81,48
2025-07-05 16:27:43,036 # -81,48
2025-07-05 16:27:43,138 # -82,44
2025-07-05 16:27:43,237 # -84,36
2025-07-05 16:27:43,338 # -84,36
2025-07-05 16:27:43,446 # -84,36
2025-07-05 16:27:43,539 # -82,44
2025-07-05 16:27:43,640 # -80,52
2025-07-05 16:27:43,741 # -80,52
2025-07-05 16:27:43,841 # -80,52
2025-07-05 16:27:43,942 # -79,56
2025-07-05 16:27:44,041 # -79,56
2025-07-05 16:27:44,143 # -79,56
2025-07-05 16:27:44,245 # -79,56
2025-07-05 16:27:44,344 # -79,56
2025-07-05 16:27:44,446 # -79,56
2025-07-05 16:27:44,546 # -77,64
2025-07-05 16:27:44,656 # -76,68
2025-07-05 16:27:44,746 # -77,64
2025-07-05 16:27:44,847 # -83,40
2025-07-05 16:27:44,948 # -77,64
2025-07-05 16:27:45,047 # -82,44
2025-07-05 16:27:45,149 # -84,36
2025-07-05 16:27:45,249 # -83,40
2025-07-05 16:27:45,349 # -79,56
2025-07-05 16:27:45,450 # -80,52
2025-07-05 16:27:45,552 # -79,56
2025-07-05 16:27:45,652 # -79,56
2025-07-05 16:27:45,752 # -79,56
2025-07-05 16:27:45,853 # -80,52
2025-07-05 16:27:45,952 # -79,56
2025-07-05 16:27:46,060 # -80,52
2025-07-05 16:27:46,156 # -83,40
2025-07-05 16:27:46,255 # -80,52
2025-07-05 16:27:46,356 # -78,60
2025-07-05 16:27:46,457 # -79,56
2025-07-05 16:27:46,557 # -79,56
2025-07-05 16:27:46,658 # -77,64
2025-07-05 16:27:46,757 # -77,64
2025-07-05 16:27:46,859 # -79,56
2025-07-05 16:27:46,958 # -76,68
2025-07-05 16:27:47,061 # -79,56
2025-07-05 16:27:47,161 # -77,64
2025-07-05 16:27:47,262 # -77,64
2025-07-05 16:27:47,360 # -75,72
2025-07-05 16:27:47,461 # -78,60
2025-07-05 16:27:47,563 # -79,56
2025-07-05 16:27:47,570 # -79,56
2025-07-05 16:27:47,671 # -82,44
2025-07-05 16:27:47,762 # -84,36
2025-07-05 16:27:47,765 # -84,36
2025-07-05 16:27:47,863 # -77,64
2025-07-05 16:27:47,964 # -82,44
2025-07-05 16:27:48,064 # -77,64
2025-07-05 16:27:48,169 # -78,60
2025-07-05 16:27:48,266 # -80,52
2025-07-05 16:27:48,366 # -80,52
2025-07-05 16:27:48,371 # -80,52
2025-07-05 16:27:48,467 # -74,76
2025-07-05 16:27:48,568 # -72,84
2025-07-05 16:27:48,668 # -84,36
2025-07-05 16:27:48,769 # -76,68
2025-07-05 16:27:48,869 # -77,64
2025-07-05 16:27:48,970 # -76,68
2025-07-05 16:27:49,071 # -77,64
2025-07-05 16:27:49,173 # -78,60
2025-07-05 16:27:49,272 # -79,56
2025-07-05 16:27:49,374 # -76,68
2025-07-05 16:27:49,473 # -73,80
2025-07-05 16:27:49,573 # -79,56
2025-07-05 16:27:49,674 # -78,60
2025-07-05 16:27:49,774 # -77,64
2025-07-05 16:27:49,876 # -73,80
2025-07-05 16:27:49,975 # -76,68
2025-07-05 16:27:50,075 # -75,72
2025-07-05 16:27:50,178 # -81,48
2025-07-05 16:27:50,278 # -76,68
2025-07-05 16:27:50,379 # -73,80
2025-07-05 16:27:50,479 # -75,72
2025-07-05 16:27:50,579 # -78,60
2025-07-05 16:27:50,680 # -78,60
2025-07-05 16:27:50,781 # -74,76
2025-07-05 16:27:50,880 # -78,60
2025-07-05 16:27:50,981 # -74,76
2025-07-05 16:27:51,082 # -74,76
2025-07-05 16:27:51,184 # -82,44
2025-07-05 16:27:51,283 # -78,60
2025-07-05 16:27:51,383 # -75,72
2025-07-05 16:27:51,484 # -77,64
2025-07-05 16:27:51,586 # -79,56
2025-07-05 16:27:51,686 # -77,64
2025-07-05 16:27:51,785 # -76,68
2025-07-05 16:27:51,887 # -75,72
2025-07-05 16:27:51,986 # -75,72
2025-07-05 16:27:52,089 # -76,68
2025-07-05 16:27:52,190 # -76,68
2025-07-05 16:27:52,288 # -77,64
2025-07-05 16:27:52,389 # -76,68
2025-07-05 16:27:52,494 # -75,72
2025-07-05 16:27:52,591 # -75,72
2025-07-05 16:27:52,693 # -77,64
2025-07-05 16:27:52,792 # -80,52
2025-07-05 16:27:52,893 # -77,64
2025-07-05 16:27:52,993 # -75,72
2025-07-05 16:27:53,000 # -75,72
2025-07-05 16:27:53,093 # -76,68
2025-07-05 16:27:53,194 # -75,72
