rssi,lqi
-78,60
-76,68
-75,72
-74,76
-76,68
-75,72
-76,68
-72,84
-78,60
-77,64
-74,76
-74,76
-72,84
-73,80
-75,72
-78,60
-76,68
-78,60
-76,68
-76,68
-76,68
-72,84
-78,60
-76,68
-72,84
-77,64
-81,48
-74,76
-75,72
-80,52
-75,72
-81,48
-73,80
-78,60
-76,68
-79,56
-78,60
-77,64
-78,60
-76,68
-76,68
-76,68
-75,72
-74,76
-77,64
-77,64
-74,76
-74,76
-75,72
-78,60
-83,40
-80,52
-79,56
-77,64
-76,68
-76,68
-76,68
-77,64
-77,64
-77,64
-78,60
-79,56
-81,48
-81,48
-83,40
-83,40
-80,52
-78,60
-82,44
-79,56
-81,48
-80,52
-79,56
-80,52
-79,56
-80,52
-80,52
-77,64
-77,64
-79,56
-80,52
-80,52
-80,52
-80,52
-83,40
-86,28
-77,64
-72,84
-73,80
-78,60
-82,44
-77,64
-81,48
-84,36
-81,48
-73,80
-74,76
-79,56
-85,32
-75,72
-79,56
-79,56
-77,64
-76,68
-77,64
-82,44
-76,68
-80,52
-79,56
-77,64
-83,40
-80,52
-76,68
-75,72
-73,80
-73,80
-77,64
-75,72
-83,40
-78,60
-81,48
-86,28
-78,60
-78,60
-80,52
-74,76
-79,56
-89,16
-84,36
-82,44
-77,64
-74,76
-73,80
-72,84
-78,60
-79,56
-73,80
-74,76
-73,80
-73,80
-77,64
-77,64
-77,64
-76,68
-73,80
-74,76
-76,68
-75,72
-75,72
-75,72
-75,72
-76,68
-75,72
-74,76
-74,76
-75,72
-74,76
-74,76
-75,72
-76,68
-75,72
-77,64
-77,64
-75,72
-73,80
-73,80
-73,80
-73,80
-75,72
-77,64
-75,72
-76,68
-77,64
-77,64
-78,60
-79,56
-76,68
-77,64
-77,64
-77,64
-77,64
-78,60
-78,60
-78,60
-79,56
-79,56
-77,64
-79,56
-78,60
-79,56
-81,48
-79,56
-79,56
-81,48
-81,48
-79,56
-78,60
-79,56
-79,56
-79,56
-79,56
-79,56
-79,56
-79,56
-80,52
-80,52
-81,48
-80,52
-79,56
-78,60
-78,60
-79,56
-79,56
-79,56
-78,60
-79,56
-79,56
-80,52
-81,48
-80,52
-79,56
-79,56
-78,60
-78,60
-78,60
-79,56
-80,52
-80,52
-80,52
-77,64
-75,72
-76,68
-77,64
-78,60
-76,68
-78,60
-75,72
-75,72
-75,72
-75,72
-77,64
-75,72
-75,72
-74,76
-76,68
-78,60
-79,56
-79,56
-75,72
-83,40
-76,68
-82,44
-80,52
-76,68
-80,52
-78,60
-75,72
-77,64
-80,52
-78,60
-81,48
-78,60
-80,52
-80,52
-85,32
-78,60
-76,68
-77,64
-76,68
-81,48
-78,60
-80,52
-83,40
-78,60
-81,48
-82,44
-81,48
-83,40
-86,28
-93,0
-87,24
-85,32
-87,24
-83,40
-82,44
-81,48
-81,48
-82,44
-84,36
-84,36
-84,36
-82,44
-80,52
-80,52
-80,52
-79,56
-79,56
-79,56
-79,56
-79,56
-79,56
-77,64
-76,68
-77,64
-83,40
-77,64
-82,44
-84,36
-83,40
-79,56
-80,52
-79,56
-79,56
-79,56
-80,52
-79,56
-80,52
-83,40
-80,52
-78,60
-79,56
-79,56
-77,64
-77,64
-79,56
-76,68
-79,56
-77,64
-77,64
-75,72
-78,60
-79,56
-79,56
-82,44
-84,36
-84,36
-77,64
-82,44
-77,64
-78,60
-80,52
-80,52
-80,52
-74,76
-72,84
-84,36
-76,68
-77,64
-76,68
-77,64
-78,60
-79,56
-76,68
-73,80
-79,56
-78,60
-77,64
-73,80
-76,68
-75,72
-81,48
-76,68
-73,80
-75,72
-78,60
-78,60
-74,76
-78,60
-74,76
-74,76
-82,44
-78,60
-75,72
-77,64
-79,56
-77,64
-76,68
-75,72
-75,72
-76,68
-76,68
-77,64
-76,68
-75,72
-75,72
-77,64
-80,52
-77,64
-75,72
-75,72
-76,68
-75,72
-75,72
-77,64
-76,68
-75,72
-78,60
-78,60
-76,68
-76,68
-77,64
-77,64
-79,56
-80,52
-80,52
-78,60
-78,60
-76,68
-77,64
-76,68
-77,64
-76,68
-78,60
-78,60
-78,60
-76,68
-76,68
-76,68
-76,68
-75,72
-75,72
-75,72
-75,72
-76,68
-76,68
-76,68
-76,68
-76,68
-75,72
-75,72
-75,72
-76,68
-76,68
-77,64
-76,68
-77,64
-76,68
-77,64
-78,60
-79,56
-79,56
-78,60
-78,60
-78,60
-78,60
-78,60
-78,60
-78,60
-79,56
-78,60
-78,60
-79,56
-79,56
-78,60
-79,56
-80,52
-80,52
-79,56
-78,60
-78,60
-78,60
-79,56
-78,60
-80,52
-82,44
-81,48
-78,60
-78,60
-79,56
-79,56
-79,56
-79,56
-79,56
-80,52
-80,52
-80,52
-81,48
-80,52
-79,56
-77,64
-77,64
-77,64
-77,64
-77,64
-77,64
-78,60
-78,60
-78,60
-78,60
-78,60
-77,64
-78,60
-77,64
-78,60
-78,60
-78,60
-77,64
-77,64
-78,60
-78,60
-79,56
-79,56
-79,56
-79,56
-79,56
-79,56
-79,56
-78,60
-78,60
-78,60
-78,60
-78,60
-78,60
-79,56
-79,56
-79,56
-79,56
-79,56
-79,56
-79,56
-79,56
-79,56
-79,56
-79,56
-79,56
-79,56
-79,56
-79,56
-79,56
-79,56
-79,56
-79,56
-79,56
-79,56
-79,56
-78,60
-78,60
-79,56
-80,52
-79,56
-78,60
-78,60
-76,68
-75,72
-76,68
-77,64
-77,64
-78,60
-79,56
-82,44
-79,56
-76,68
-77,64
-79,56
-81,48
-81,48
-80,52
-79,56
-79,56
-79,56
-80,52
-81,48
-79,56
-79,56
-80,52
-78,60
-78,60
-79,56
-79,56
-79,56
-79,56
-77,64
-79,56
-81,48
-78,60
-78,60
-78,60
-80,52
-79,56
-79,56
-80,52
-80,52
-78,60
-78,60
-78,60
-79,56
-79,56
-78,60
-78,60
-79,56
-80,52
-78,60
-78,60
-78,60
-78,60
-79,56
-79,56
-80,52
-80,52
-80,52
-80,52
-79,56
-78,60
-77,64
-76,68
-77,64
-77,64
-78,60
-77,64
-77,64
-78,60
-79,56
-79,56
-79,56
-78,60
-78,60
-77,64
-77,64
-76,68
-75,72
-75,72
-75,72
-77,64
-75,72
-78,60
-77,64
-77,64
-78,60
-75,72
-76,68
-77,64
-77,64
-77,64
-77,64
-77,64
-77,64
-76,68
-76,68
-78,60
-76,68
-76,68
-77,64
-75,72
-78,60
-75,72
-78,60
-78,60
-75,72
-79,56
-77,64
-77,64
-77,64
-78,60
-79,56
-79,56
-78,60
-80,52
-80,52
-82,44
-78,60
-78,60
-79,56
-79,56
-79,56
-79,56
-78,60
-79,56
-79,56
-78,60
-78,60
-77,64
-78,60
-77,64
-76,68
-78,60
-76,68
-77,64
-76,68
-76,68
-77,64
-78,60
-81,48
-82,44
-81,48
-77,64
-77,64
-76,68
-77,64
-76,68
-75,72
-76,68
-75,72
-76,68
-75,72
-76,68
-77,64
-77,64
-77,64
-77,64
-77,64
-77,64
-77,64
-77,64
