/home/kerouac/RIOT/dist/tools/pyterm/pyterm -p "/dev/ttyACM0" -b "115200" -ln "/tmp/pyterm-kerouac" -rn "2025-07-11_19.01.05-pkt_logger-adafruit-feather-nrf52840-sense"  
2025-07-11 19:01:05,727 # Connect to serial port /dev/ttyACM0
Welcome to pyterm!
Type '/exit' to exit.
2025-07-11 19:01:08,706 # help
2025-07-11 19:01:08,708 # Command              Description
2025-07-11 19:01:08,710 # ---------------------------------------
2025-07-11 19:01:08,713 # target_add           Add IPv6 target for sending packets
2025-07-11 19:01:08,715 # send                 Control sender: send start|stop
2025-07-11 19:01:08,717 # status               Show sender status and target list
2025-07-11 19:01:08,719 # ping                 Ping via ICMPv6
2025-07-11 19:01:08,721 # nib                  Configure neighbor information base
2025-07-11 19:01:08,723 # ifconfig             Configure network interfaces
2025-07-11 19:01:08,726 # 6ctx                 6LoWPAN context configuration tool
2025-07-11 19:01:08,728 # pm                   interact with layered PM subsystem
2025-07-11 19:01:08,730 # version              Prints current RIOT_VERSION
2025-07-11 19:01:08,732 # bootloader           Reboot to bootloader
2025-07-11 19:01:08,734 # reboot               Reboot the node
2025-07-11 19:01:37,788 # -65,112
2025-07-11 19:01:37,887 # -65,112
2025-07-11 19:01:37,989 # -64,116
2025-07-11 19:01:38,090 # -65,112
2025-07-11 19:01:38,188 # -64,116
2025-07-11 19:01:38,290 # -64,116
2025-07-11 19:01:38,390 # -66,108
2025-07-11 19:01:38,490 # -65,112
2025-07-11 19:01:38,592 # -64,116
2025-07-11 19:01:38,692 # -64,116
2025-07-11 19:01:38,793 # -66,108
2025-07-11 19:01:38,893 # -64,116
2025-07-11 19:01:38,995 # -63,120
2025-07-11 19:01:39,095 # -63,120
2025-07-11 19:01:39,194 # -63,120
2025-07-11 19:01:39,296 # -62,124
2025-07-11 19:01:39,397 # -65,112
2025-07-11 19:01:39,496 # -63,120
2025-07-11 19:01:39,597 # -65,112
2025-07-11 19:01:39,697 # -64,116
2025-07-11 19:01:39,799 # -64,116
2025-07-11 19:01:39,900 # -63,120
2025-07-11 19:01:40,001 # -68,100
2025-07-11 19:01:40,100 # -65,112
2025-07-11 19:01:40,202 # -65,112
2025-07-11 19:01:40,302 # -67,104
2025-07-11 19:01:40,402 # -65,112
2025-07-11 19:01:40,502 # -64,116
2025-07-11 19:01:40,604 # -66,108
2025-07-11 19:01:40,703 # -67,104
2025-07-11 19:01:40,805 # -64,116
2025-07-11 19:01:40,905 # -68,100
2025-07-11 19:01:41,007 # -68,100
2025-07-11 19:01:41,107 # -67,104
2025-07-11 19:01:41,207 # -66,108
2025-07-11 19:01:41,308 # -64,116
2025-07-11 19:01:41,407 # -63,120
2025-07-11 19:01:41,509 # -63,120
2025-07-11 19:01:41,609 # -64,116
2025-07-11 19:01:41,711 # -65,112
2025-07-11 19:01:41,810 # -64,116
2025-07-11 19:01:41,911 # -64,116
2025-07-11 19:01:42,011 # -65,112
2025-07-11 19:01:42,111 # -65,112
2025-07-11 19:01:42,213 # -66,108
2025-07-11 19:01:42,314 # -67,104
2025-07-11 19:01:42,413 # -67,104
2025-07-11 19:01:42,514 # -68,100
2025-07-11 19:01:42,616 # -69,96
2025-07-11 19:01:42,716 # -68,100
2025-07-11 19:01:42,816 # -69,96
2025-07-11 19:01:42,915 # -68,100
2025-07-11 19:01:43,018 # -67,104
2025-07-11 19:01:43,119 # -67,104
2025-07-11 19:01:43,219 # -66,108
2025-07-11 19:01:43,318 # -66,108
2025-07-11 19:01:43,419 # -65,112
2025-07-11 19:01:43,519 # -65,112
2025-07-11 19:01:43,620 # -65,112
2025-07-11 19:01:43,722 # -65,112
2025-07-11 19:01:43,821 # -64,116
2025-07-11 19:01:43,923 # -64,116
2025-07-11 19:01:44,023 # -63,120
2025-07-11 19:01:44,125 # -63,120
2025-07-11 19:01:44,225 # -64,116
2025-07-11 19:01:44,325 # -63,120
2025-07-11 19:01:44,426 # -62,124
2025-07-11 19:01:44,527 # -63,120
2025-07-11 19:01:44,626 # -63,120
2025-07-11 19:01:44,733 # -63,120
2025-07-11 19:01:44,828 # -63,120
2025-07-11 19:01:44,929 # -64,116
2025-07-11 19:01:45,030 # -64,116
2025-07-11 19:01:45,128 # -64,116
2025-07-11 19:01:45,230 # -63,120
2025-07-11 19:01:45,329 # -63,120
2025-07-11 19:01:45,431 # -63,120
2025-07-11 19:01:45,532 # -63,120
2025-07-11 19:01:45,632 # -63,120
2025-07-11 19:01:45,731 # -64,116
2025-07-11 19:01:45,832 # -64,116
2025-07-11 19:01:45,933 # -65,112
2025-07-11 19:01:46,035 # -64,116
2025-07-11 19:01:46,135 # -63,120
2025-07-11 19:01:46,235 # -63,120
2025-07-11 19:01:46,336 # -64,116
2025-07-11 19:01:46,438 # -64,116
2025-07-11 19:01:46,538 # -64,116
2025-07-11 19:01:46,637 # -64,116
2025-07-11 19:01:46,737 # -63,120
2025-07-11 19:01:46,839 # -63,120
2025-07-11 19:01:46,940 # -63,120
2025-07-11 19:01:47,040 # -63,120
2025-07-11 19:01:47,141 # -63,120
2025-07-11 19:01:47,240 # -63,120
2025-07-11 19:01:47,343 # -63,120
2025-07-11 19:01:47,442 # -63,120
2025-07-11 19:01:47,543 # -63,120
2025-07-11 19:01:47,643 # -66,108
2025-07-11 19:01:47,743 # -64,116
2025-07-11 19:01:47,845 # -64,116
2025-07-11 19:01:47,945 # -65,112
2025-07-11 19:01:48,045 # -63,120
2025-07-11 19:01:48,147 # -63,120
2025-07-11 19:01:48,247 # -64,116
2025-07-11 19:01:48,347 # -65,112
2025-07-11 19:01:48,447 # -64,116
2025-07-11 19:01:48,548 # -64,116
2025-07-11 19:01:48,648 # -64,116
2025-07-11 19:01:48,751 # -66,108
2025-07-11 19:01:48,851 # -65,112
2025-07-11 19:01:48,950 # -65,112
2025-07-11 19:01:49,052 # -64,116
2025-07-11 19:01:49,151 # -62,124
2025-07-11 19:01:49,251 # -64,116
2025-07-11 19:01:49,352 # -63,120
2025-07-11 19:01:49,452 # -62,124
2025-07-11 19:01:49,555 # -64,116
2025-07-11 19:01:49,655 # -65,112
2025-07-11 19:01:49,754 # -64,116
2025-07-11 19:01:49,856 # -64,116
2025-07-11 19:01:49,957 # -64,116
2025-07-11 19:01:50,057 # -62,124
2025-07-11 19:01:50,158 # -63,120
2025-07-11 19:01:50,259 # -63,120
2025-07-11 19:01:50,357 # -64,116
2025-07-11 19:01:50,459 # -64,116
2025-07-11 19:01:50,561 # -64,116
2025-07-11 19:01:50,661 # -62,124
2025-07-11 19:01:50,761 # -62,124
2025-07-11 19:01:50,863 # -64,116
2025-07-11 19:01:50,961 # -64,116
2025-07-11 19:01:51,063 # -63,120
2025-07-11 19:01:51,164 # -64,116
2025-07-11 19:01:51,265 # -64,116
2025-07-11 19:01:51,365 # -64,116
2025-07-11 19:01:51,466 # -64,116
2025-07-11 19:01:51,564 # -64,116
2025-07-11 19:01:51,666 # -63,120
2025-07-11 19:01:51,766 # -65,112
2025-07-11 19:01:51,867 # -63,120
2025-07-11 19:01:51,969 # -63,120
2025-07-11 19:01:52,069 # -63,120
2025-07-11 19:01:52,169 # -63,120
2025-07-11 19:01:52,270 # -64,116
2025-07-11 19:01:52,369 # -64,116
2025-07-11 19:01:52,471 # -64,116
2025-07-11 19:01:52,572 # -64,116
2025-07-11 19:01:52,673 # -65,112
2025-07-11 19:01:52,773 # -64,116
2025-07-11 19:01:52,872 # -64,116
2025-07-11 19:01:52,974 # -64,116
2025-07-11 19:01:53,074 # -64,116
2025-07-11 19:01:53,175 # -64,116
2025-07-11 19:01:53,274 # -64,116
2025-07-11 19:01:53,377 # -63,120
2025-07-11 19:01:53,476 # -63,120
2025-07-11 19:01:53,577 # -63,120
2025-07-11 19:01:53,676 # -64,116
2025-07-11 19:01:53,778 # -64,116
2025-07-11 19:01:53,880 # -63,120
2025-07-11 19:01:53,978 # -64,116
2025-07-11 19:01:54,079 # -63,120
2025-07-11 19:01:54,179 # -66,108
2025-07-11 19:01:54,281 # -64,116
2025-07-11 19:01:54,381 # -64,116
2025-07-11 19:01:54,481 # -64,116
2025-07-11 19:01:54,582 # -64,116
2025-07-11 19:01:54,684 # -64,116
2025-07-11 19:01:54,783 # -63,120
2025-07-11 19:01:54,885 # -65,112
2025-07-11 19:01:54,985 # -63,120
2025-07-11 19:01:55,084 # -63,120
2025-07-11 19:01:55,186 # -66,108
2025-07-11 19:01:55,287 # -64,116
2025-07-11 19:01:55,387 # -64,116
2025-07-11 19:01:55,487 # -65,112
2025-07-11 19:01:55,589 # -64,116
2025-07-11 19:01:55,689 # -64,116
2025-07-11 19:01:55,789 # -63,120
2025-07-11 19:01:55,889 # -64,116
2025-07-11 19:01:55,990 # -63,120
2025-07-11 19:01:56,091 # -65,112
2025-07-11 19:01:56,190 # -64,116
2025-07-11 19:01:56,292 # -64,116
2025-07-11 19:01:56,392 # -64,116
2025-07-11 19:01:56,494 # -64,116
2025-07-11 19:01:56,593 # -64,116
2025-07-11 19:01:56,693 # -66,108
2025-07-11 19:01:56,794 # -65,112
2025-07-11 19:01:56,894 # -65,112
2025-07-11 19:01:56,995 # -64,116
2025-07-11 19:01:57,096 # -64,116
2025-07-11 19:01:57,197 # -65,112
2025-07-11 19:01:57,298 # -64,116
2025-07-11 19:01:57,398 # -63,120
2025-07-11 19:01:57,498 # -64,116
2025-07-11 19:01:57,598 # -65,112
2025-07-11 19:01:57,699 # -63,120
2025-07-11 19:01:57,800 # -65,112
2025-07-11 19:01:57,905 # -64,116
2025-07-11 19:01:58,001 # -64,116
2025-07-11 19:01:58,102 # -64,116
2025-07-11 19:01:58,202 # -65,112
2025-07-11 19:01:58,304 # -65,112
2025-07-11 19:01:58,404 # -63,120
2025-07-11 19:01:58,504 # -64,116
2025-07-11 19:01:58,605 # -64,116
2025-07-11 19:01:58,706 # -64,116
2025-07-11 19:01:58,806 # -66,108
2025-07-11 19:01:58,905 # -65,112
2025-07-11 19:01:59,007 # -65,112
2025-07-11 19:01:59,107 # -64,116
2025-07-11 19:01:59,209 # -64,116
2025-07-11 19:01:59,309 # -63,120
2025-07-11 19:01:59,409 # -64,116
2025-07-11 19:01:59,511 # -64,116
2025-07-11 19:01:59,613 # -64,116
2025-07-11 19:01:59,710 # -66,108
2025-07-11 19:01:59,822 # -66,108
2025-07-11 19:01:59,911 # -65,112
2025-07-11 19:02:00,014 # -66,108
2025-07-11 19:02:00,114 # -65,112
2025-07-11 19:02:00,213 # -65,112
2025-07-11 19:02:00,315 # -65,112
2025-07-11 19:02:00,415 # -64,116
2025-07-11 19:02:00,516 # -65,112
2025-07-11 19:02:00,617 # -65,112
2025-07-11 19:02:00,718 # -65,112
2025-07-11 19:02:00,818 # -65,112
2025-07-11 19:02:00,918 # -66,108
2025-07-11 19:02:01,020 # -66,108
2025-07-11 19:02:01,119 # -65,112
2025-07-11 19:02:01,219 # -67,104
2025-07-11 19:02:01,320 # -67,104
2025-07-11 19:02:01,420 # -66,108
2025-07-11 19:02:01,522 # -66,108
2025-07-11 19:02:01,621 # -66,108
2025-07-11 19:02:01,723 # -66,108
2025-07-11 19:02:01,823 # -66,108
2025-07-11 19:02:01,924 # -66,108
2025-07-11 19:02:02,024 # -66,108
2025-07-11 19:02:02,125 # -65,112
2025-07-11 19:02:02,226 # -64,116
2025-07-11 19:02:02,326 # -64,116
2025-07-11 19:02:02,427 # -64,116
2025-07-11 19:02:02,526 # -64,116
2025-07-11 19:02:02,628 # -64,116
2025-07-11 19:02:02,728 # -63,120
2025-07-11 19:02:02,828 # -63,120
2025-07-11 19:02:02,930 # -63,120
2025-07-11 19:02:03,029 # -63,120
2025-07-11 19:02:03,131 # -64,116
2025-07-11 19:02:03,231 # -63,120
2025-07-11 19:02:03,331 # -63,120
2025-07-11 19:02:03,433 # -63,120
2025-07-11 19:02:03,532 # -63,120
2025-07-11 19:02:03,633 # -63,120
2025-07-11 19:02:03,735 # -63,120
2025-07-11 19:02:03,833 # -64,116
2025-07-11 19:02:03,934 # -63,120
2025-07-11 19:02:04,035 # -64,116
2025-07-11 19:02:04,135 # -63,120
2025-07-11 19:02:04,236 # -64,116
2025-07-11 19:02:04,338 # -65,112
2025-07-11 19:02:04,436 # -65,112
2025-07-11 19:02:04,539 # -64,116
2025-07-11 19:02:04,639 # -65,112
2025-07-11 19:02:04,738 # -65,112
2025-07-11 19:02:04,841 # -64,116
2025-07-11 19:02:04,941 # -64,116
2025-07-11 19:02:05,041 # -64,116
2025-07-11 19:02:05,142 # -65,112
2025-07-11 19:02:05,243 # -64,116
2025-07-11 19:02:05,342 # -66,108
2025-07-11 19:02:05,442 # -66,108
2025-07-11 19:02:05,543 # -64,116
2025-07-11 19:02:05,645 # -65,112
2025-07-11 19:02:05,744 # -64,116
2025-07-11 19:02:05,844 # -63,120
2025-07-11 19:02:05,951 # -64,116
2025-07-11 19:02:06,047 # -65,112
2025-07-11 19:02:06,148 # -64,116
2025-07-11 19:02:06,248 # -64,116
2025-07-11 19:02:06,349 # -64,116
2025-07-11 19:02:06,449 # -64,116
2025-07-11 19:02:06,549 # -65,112
2025-07-11 19:02:06,650 # -64,116
2025-07-11 19:02:06,752 # -64,116
2025-07-11 19:02:06,850 # -65,112
2025-07-11 19:02:06,951 # -64,116
2025-07-11 19:02:07,051 # -64,116
2025-07-11 19:02:07,153 # -64,116
2025-07-11 19:02:07,253 # -64,116
2025-07-11 19:02:07,353 # -63,120
2025-07-11 19:02:07,454 # -63,120
2025-07-11 19:02:07,556 # -64,116
2025-07-11 19:02:07,656 # -65,112
2025-07-11 19:02:07,756 # -63,120
2025-07-11 19:02:07,856 # -64,116
2025-07-11 19:02:07,957 # -65,112
2025-07-11 19:02:08,057 # -64,116
2025-07-11 19:02:08,160 # -64,116
2025-07-11 19:02:08,259 # -65,112
2025-07-11 19:02:08,360 # -65,112
2025-07-11 19:02:08,460 # -63,120
2025-07-11 19:02:08,560 # -63,120
2025-07-11 19:02:08,662 # -65,112
2025-07-11 19:02:08,761 # -63,120
2025-07-11 19:02:08,862 # -65,112
2025-07-11 19:02:08,962 # -63,120
2025-07-11 19:02:09,065 # -64,116
2025-07-11 19:02:09,165 # -63,120
2025-07-11 19:02:09,265 # -63,120
2025-07-11 19:02:09,366 # -64,116
2025-07-11 19:02:09,466 # -64,116
2025-07-11 19:02:09,567 # -64,116
2025-07-11 19:02:09,666 # -64,116
2025-07-11 19:02:09,769 # -64,116
2025-07-11 19:02:09,869 # -65,112
2025-07-11 19:02:09,970 # -64,116
2025-07-11 19:02:10,068 # -63,120
2025-07-11 19:02:10,170 # -63,120
2025-07-11 19:02:10,270 # -65,112
2025-07-11 19:02:10,371 # -65,112
2025-07-11 19:02:10,471 # -64,116
2025-07-11 19:02:10,573 # -65,112
2025-07-11 19:02:10,673 # -65,112
2025-07-11 19:02:10,772 # -64,116
2025-07-11 19:02:10,874 # -64,116
2025-07-11 19:02:10,973 # -64,116
2025-07-11 19:02:11,075 # -65,112
2025-07-11 19:02:11,175 # -67,104
2025-07-11 19:02:11,276 # -69,96
2025-07-11 19:02:11,375 # -70,92
2025-07-11 19:02:11,476 # -69,96
2025-07-11 19:02:11,483 # -69,96
2025-07-11 19:02:11,579 # -70,92
2025-07-11 19:02:11,678 # -68,100
2025-07-11 19:02:11,780 # -65,112
2025-07-11 19:02:11,880 # -65,112
2025-07-11 19:02:11,980 # -65,112
2025-07-11 19:02:12,082 # -65,112
2025-07-11 19:02:12,181 # -65,112
2025-07-11 19:02:12,282 # -65,112
2025-07-11 19:02:12,384 # -65,112
2025-07-11 19:02:12,483 # -66,108
2025-07-11 19:02:12,584 # -66,108
2025-07-11 19:02:12,684 # -65,112
2025-07-11 19:02:12,785 # -65,112
2025-07-11 19:02:12,884 # -65,112
2025-07-11 19:02:12,985 # -64,116
2025-07-11 19:02:13,087 # -65,112
2025-07-11 19:02:13,187 # -64,116
2025-07-11 19:02:13,286 # -64,116
2025-07-11 19:02:13,387 # -64,116
2025-07-11 19:02:13,489 # -64,116
2025-07-11 19:02:13,590 # -64,116
2025-07-11 19:02:13,695 # -64,116
2025-07-11 19:02:13,790 # -64,116
2025-07-11 19:02:13,891 # -65,112
2025-07-11 19:02:13,992 # -65,112
2025-07-11 19:02:14,092 # -65,112
2025-07-11 19:02:14,192 # -65,112
2025-07-11 19:02:14,293 # -65,112
2025-07-11 19:02:14,395 # -66,108
2025-07-11 19:02:14,494 # -65,112
2025-07-11 19:02:14,594 # -65,112
2025-07-11 19:02:14,697 # -65,112
2025-07-11 19:02:14,796 # -65,112
2025-07-11 19:02:14,896 # -64,116
2025-07-11 19:02:14,996 # -64,116
2025-07-11 19:02:15,098 # -64,116
2025-07-11 19:02:15,203 # -66,108
2025-07-11 19:02:15,298 # -65,112
2025-07-11 19:02:15,399 # -66,108
2025-07-11 19:02:15,506 # -66,108
2025-07-11 19:02:15,599 # -66,108
2025-07-11 19:02:15,702 # -65,112
2025-07-11 19:02:15,801 # -66,108
2025-07-11 19:02:15,901 # -65,112
2025-07-11 19:02:16,002 # -65,112
2025-07-11 19:02:16,103 # -65,112
2025-07-11 19:02:16,205 # -65,112
2025-07-11 19:02:16,304 # -65,112
2025-07-11 19:02:16,403 # -66,108
2025-07-11 19:02:16,506 # -66,108
2025-07-11 19:02:16,607 # -66,108
2025-07-11 19:02:16,707 # -67,104
2025-07-11 19:02:16,807 # -66,108
2025-07-11 19:02:16,907 # -66,108
2025-07-11 19:02:17,010 # -66,108
2025-07-11 19:02:17,110 # -66,108
2025-07-11 19:02:17,208 # -64,116
2025-07-11 19:02:17,311 # -64,116
2025-07-11 19:02:17,411 # -64,116
2025-07-11 19:02:17,511 # -64,116
2025-07-11 19:02:17,611 # -64,116
2025-07-11 19:02:17,711 # -64,116
2025-07-11 19:02:17,813 # -65,112
2025-07-11 19:02:17,914 # -65,112
2025-07-11 19:02:18,012 # -65,112
2025-07-11 19:02:18,116 # -65,112
2025-07-11 19:02:18,120 # -65,112
2025-07-11 19:02:18,216 # -65,112
2025-07-11 19:02:18,316 # -64,116
2025-07-11 19:02:18,416 # -64,116
2025-07-11 19:02:18,517 # -65,112
2025-07-11 19:02:18,619 # -65,112
2025-07-11 19:02:18,719 # -65,112
2025-07-11 19:02:18,819 # -64,116
2025-07-11 19:02:18,920 # -65,112
2025-07-11 19:02:19,021 # -63,120
2025-07-11 19:02:19,121 # -64,116
2025-07-11 19:02:19,220 # -64,116
2025-07-11 19:02:19,321 # -63,120
2025-07-11 19:02:19,421 # -63,120
2025-07-11 19:02:19,522 # -63,120
2025-07-11 19:02:19,623 # -63,120
2025-07-11 19:02:19,724 # -63,120
2025-07-11 19:02:19,824 # -63,120
2025-07-11 19:02:19,926 # -63,120
2025-07-11 19:02:20,027 # -63,120
2025-07-11 19:02:20,127 # -63,120
2025-07-11 19:02:20,226 # -64,116
2025-07-11 19:02:20,326 # -64,116
2025-07-11 19:02:20,429 # -64,116
