rssi,lqi
-64,116
-69,96
-71,88
-66,108
-62,124
-62,124
-63,120
-62,124
-62,124
-63,120
-64,116
-63,120
-63,120
-63,120
-63,120
-63,120
-62,124
-63,120
-63,120
-64,116
-64,116
-64,116
-65,112
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-63,120
-63,120
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-63,120
-63,120
-64,116
-64,116
-64,116
-63,120
-63,120
-63,120
-63,120
-63,120
-64,116
-64,116
-64,116
-64,116
-64,116
-65,112
-64,116
-65,112
-65,112
-64,116
-64,116
-65,112
-65,112
-64,116
-64,116
-66,108
-68,100
-66,108
-65,112
-63,120
-63,120
-63,120
-63,120
-63,120
-64,116
-64,116
-65,112
-63,120
-64,116
-65,112
-63,120
-63,120
-63,120
-63,120
-61,128
-62,124
-63,120
-63,120
-63,120
-64,116
-63,120
-63,120
-63,120
-63,120
-64,116
-62,124
-64,116
-60,132
-63,120
-64,116
-63,120
-62,124
-62,124
-62,124
-62,124
-63,120
-63,120
-63,120
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-64,116
-65,112
-65,112
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-67,104
-67,104
-67,104
-67,104
-67,104
-67,104
-67,104
-67,104
-67,104
-67,104
-67,104
-67,104
-67,104
-68,100
-68,100
-67,104
-67,104
-68,100
-68,100
-67,104
-66,108
-67,104
-68,100
-67,104
-67,104
-66,108
-66,108
-67,104
-66,108
-66,108
-67,104
-66,108
-64,116
-64,116
-63,120
-63,120
-63,120
-61,128
-63,120
-62,124
-62,124
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-63,120
-64,116
-64,116
-64,116
-63,120
-63,120
-63,120
-64,116
-63,120
-62,124
-62,124
-63,120
-65,112
-66,108
-64,116
-64,116
-68,100
-64,116
-68,100
-66,108
-66,108
-66,108
-65,112
-65,112
-65,112
-65,112
-64,116
-63,120
-64,116
-66,108
-66,108
-67,104
-69,96
-68,100
-67,104
-67,104
-67,104
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-66,108
-65,112
-66,108
-66,108
-66,108
-66,108
-66,108
-63,120
-62,124
-63,120
-63,120
