/home/kerouac/RIOT/dist/tools/pyterm/pyterm -p "/dev/ttyACM0" -b "115200" -ln "/tmp/pyterm-kerouac" -rn "2025-07-05_18.42.52-pkt_logger-adafruit-feather-nrf52840-sense"  
2025-07-05 18:42:52,720 # Connect to serial port /dev/ttyACM0
Welcome to pyterm!
Type '/exit' to exit.
2025-07-05 18:42:57,091 # help
2025-07-05 18:42:57,092 # Command              Description
2025-07-05 18:42:57,094 # ---------------------------------------
2025-07-05 18:42:57,096 # target_add           Add IPv6 target for sending packets
2025-07-05 18:42:57,098 # send                 Control sender: send start|stop
2025-07-05 18:42:57,100 # status               Show sender status and target list
2025-07-05 18:42:57,101 # ping                 Ping via ICMPv6
2025-07-05 18:42:57,103 # nib                  Configure neighbor information base
2025-07-05 18:42:57,104 # ifconfig             Configure network interfaces
2025-07-05 18:42:57,106 # 6ctx                 6LoWPAN context configuration tool
2025-07-05 18:42:57,108 # pm                   interact with layered PM subsystem
2025-07-05 18:42:57,109 # version              Prints current RIOT_VERSION
2025-07-05 18:42:57,111 # bootloader           Reboot to bootloader
2025-07-05 18:42:57,112 # reboot               Reboot the node
2025-07-05 18:58:59,263 # -92,4
2025-07-05 18:58:59,269 # -91,8
2025-07-05 18:58:59,274 # -92,4
2025-07-05 18:58:59,287 # -92,4
2025-07-05 18:58:59,349 # -93,0
2025-07-05 18:58:59,355 # -93,0
2025-07-05 18:58:59,359 # -93,0
2025-07-05 18:58:59,365 # -93,0
2025-07-05 18:58:59,372 # -93,0
2025-07-05 18:58:59,467 # -93,0
2025-07-05 18:58:59,471 # -93,0
2025-07-05 18:58:59,476 # -93,0
2025-07-05 18:58:59,483 # -93,0
2025-07-05 18:58:59,489 # -93,0
2025-07-05 18:58:59,869 # -91,8
2025-07-05 18:58:59,875 # -92,4
2025-07-05 18:58:59,885 # -93,0
2025-07-05 18:58:59,890 # -93,0
2025-07-05 18:58:59,973 # -93,0
2025-07-05 18:58:59,977 # -93,0
2025-07-05 18:58:59,982 # -93,0
2025-07-05 18:59:00,077 # -93,0
2025-07-05 18:59:00,084 # -93,0
2025-07-05 18:59:00,090 # -93,0
2025-07-05 18:59:00,097 # -93,0
2025-07-05 18:59:00,100 # -93,0
2025-07-05 18:59:00,255 # -90,12
2025-07-05 18:59:00,261 # -89,16
2025-07-05 18:59:00,270 # -89,16
2025-07-05 18:59:00,274 # -89,16
2025-07-05 18:59:00,354 # -93,0
2025-07-05 18:59:00,358 # -93,0
2025-07-05 18:59:00,364 # -93,0
2025-07-05 18:59:00,369 # -93,0
2025-07-05 18:59:00,373 # -93,0
2025-07-05 18:59:00,455 # -93,0
2025-07-05 18:59:00,568 # -93,0
2025-07-05 18:59:00,573 # -93,0
2025-07-05 18:59:00,585 # -93,0
2025-07-05 18:59:00,592 # -93,0
2025-07-05 18:59:00,858 # -93,0
2025-07-05 18:59:00,861 # -93,0
2025-07-05 18:59:00,869 # -93,0
2025-07-05 18:59:00,874 # -93,0
2025-07-05 18:59:00,958 # -91,8
2025-07-05 18:59:00,964 # -91,8
2025-07-05 18:59:00,971 # -91,8
2025-07-05 18:59:00,973 # -91,8
2025-07-05 18:59:01,063 # -91,8
2025-07-05 18:59:01,159 # -91,8
2025-07-05 18:59:01,164 # -92,4
2025-07-05 18:59:01,170 # -92,4
2025-07-05 18:59:01,176 # -91,8
2025-07-05 18:59:01,180 # -91,8
2025-07-05 18:59:01,263 # -90,12
2025-07-05 18:59:01,269 # -90,12
2025-07-05 18:59:01,271 # -91,8
2025-07-05 18:59:01,274 # -90,12
2025-07-05 18:59:01,360 # -92,4
2025-07-05 18:59:01,364 # -92,4
2025-07-05 18:59:01,368 # -92,4
2025-07-05 18:59:01,371 # -91,8
2025-07-05 18:59:01,376 # -91,8
2025-07-05 18:59:01,461 # -90,12
2025-07-05 18:59:01,468 # -90,12
2025-07-05 18:59:01,572 # -88,20
2025-07-05 18:59:01,579 # -88,20
2025-07-05 18:59:01,663 # -91,8
2025-07-05 18:59:01,666 # -91,8
2025-07-05 18:59:01,671 # -90,12
2025-07-05 18:59:01,764 # -90,12
2025-07-05 18:59:01,770 # -90,12
2025-07-05 18:59:01,776 # -91,8
2025-07-05 18:59:01,782 # -91,8
2025-07-05 18:59:01,870 # -93,0
2025-07-05 18:59:01,877 # -92,4
2025-07-05 18:59:01,880 # -92,4
2025-07-05 18:59:01,882 # -92,4
2025-07-05 18:59:01,970 # -93,0
2025-07-05 18:59:01,972 # -93,0
2025-07-05 18:59:01,975 # -93,0
2025-07-05 18:59:02,064 # -93,0
2025-07-05 18:59:02,065 # -93,0
2025-07-05 18:59:02,069 # -93,0
2025-07-05 18:59:02,074 # -93,0
2025-07-05 18:59:02,079 # -93,0
2025-07-05 18:59:02,164 # -93,0
2025-07-05 18:59:02,169 # -92,4
2025-07-05 18:59:02,179 # -92,4
2025-07-05 18:59:02,181 # -92,4
2025-07-05 18:59:02,271 # -93,0
2025-07-05 18:59:02,277 # -93,0
2025-07-05 18:59:02,289 # -93,0
2025-07-05 18:59:02,294 # -93,0
2025-07-05 18:59:02,373 # -93,0
2025-07-05 18:59:02,378 # -93,0
2025-07-05 18:59:02,383 # -93,0
2025-07-05 18:59:02,477 # -93,0
2025-07-05 18:59:02,481 # -93,0
2025-07-05 18:59:02,484 # -93,0
2025-07-05 18:59:02,574 # -93,0
2025-07-05 18:59:02,582 # -93,0
2025-07-05 18:59:02,589 # -93,0
2025-07-05 18:59:02,679 # -93,0
2025-07-05 18:59:02,685 # -93,0
2025-07-05 18:59:02,769 # -93,0
2025-07-05 18:59:02,776 # -93,0
2025-07-05 18:59:02,784 # -93,0
2025-07-05 18:59:02,787 # -93,0
2025-07-05 18:59:02,870 # -93,0
2025-07-05 18:59:02,875 # -93,0
2025-07-05 18:59:02,878 # -93,0
2025-07-05 18:59:02,971 # -93,0
2025-07-05 18:59:02,974 # -93,0
2025-07-05 18:59:02,980 # -93,0
2025-07-05 18:59:02,983 # -93,0
2025-07-05 18:59:03,076 # -93,0
2025-07-05 18:59:03,080 # -93,0
2025-07-05 18:59:03,084 # -93,0
2025-07-05 18:59:03,089 # -93,0
2025-07-05 18:59:03,094 # -93,0
2025-07-05 18:59:03,171 # -93,0
2025-07-05 18:59:03,178 # -93,0
2025-07-05 18:59:03,190 # -93,0
2025-07-05 18:59:03,196 # -93,0
2025-07-05 18:59:03,271 # -92,4
2025-07-05 18:59:03,274 # -91,8
2025-07-05 18:59:03,282 # -91,8
2025-07-05 18:59:03,289 # -91,8
