/home/kerouac/RIOT/dist/tools/pyterm/pyterm -p "/dev/ttyACM0" -b "115200" -ln "/tmp/pyterm-kerouac" -rn "2025-07-11_17.54.40-pkt_logger-adafruit-feather-nrf52840-sense"  
2025-07-11 17:54:40,305 # Connect to serial port /dev/ttyACM0
Welcome to pyterm!
Type '/exit' to exit.
2025-07-11 17:54:41,309 # r
2025-07-11 17:54:41,311 # main(): This is RIOT! (Version: 2025.01)
2025-07-11 17:54:41,312 # Packet Logger w/ Timestamp RSSI LQI
2025-07-11 17:54:41,312 # 
2025-07-11 17:54:41,313 # [recv_thread] started
2025-07-11 17:54:41,314 # [sender_thread] started
> 2025-07-11 17:54:44,518 # help
2025-07-11 17:54:44,520 # Command              Description
2025-07-11 17:54:44,522 # ---------------------------------------
2025-07-11 17:54:44,525 # target_add           Add IPv6 target for sending packets
2025-07-11 17:54:44,527 # send                 Control sender: send start|stop
2025-07-11 17:54:44,530 # status               Show sender status and target list
2025-07-11 17:54:44,531 # ping                 Ping via ICMPv6
2025-07-11 17:54:44,533 # nib                  Configure neighbor information base
2025-07-11 17:54:44,535 # ifconfig             Configure network interfaces
2025-07-11 17:54:44,537 # 6ctx                 6LoWPAN context configuration tool
2025-07-11 17:54:44,540 # pm                   interact with layered PM subsystem
2025-07-11 17:54:44,542 # version              Prints current RIOT_VERSION
2025-07-11 17:54:44,543 # bootloader           Reboot to bootloader
2025-07-11 17:54:44,545 # reboot               Reboot the node
2025-07-11 17:55:02,576 # -66,108
2025-07-11 17:55:02,676 # -67,104
2025-07-11 17:55:02,776 # -65,112
2025-07-11 17:55:02,877 # -66,108
2025-07-11 17:55:02,978 # -68,100
2025-07-11 17:55:03,077 # -65,112
2025-07-11 17:55:03,179 # -64,116
2025-07-11 17:55:03,279 # -65,112
2025-07-11 17:55:03,381 # -65,112
2025-07-11 17:55:03,481 # -64,116
2025-07-11 17:55:03,581 # -65,112
2025-07-11 17:55:03,683 # -65,112
2025-07-11 17:55:03,782 # -65,112
2025-07-11 17:55:03,883 # -66,108
2025-07-11 17:55:03,984 # -66,108
2025-07-11 17:55:04,083 # -66,108
2025-07-11 17:55:04,184 # -66,108
2025-07-11 17:55:04,286 # -66,108
2025-07-11 17:55:04,387 # -66,108
2025-07-11 17:55:04,485 # -66,108
2025-07-11 17:55:04,587 # -66,108
2025-07-11 17:55:04,688 # -65,112
2025-07-11 17:55:04,787 # -66,108
2025-07-11 17:55:04,888 # -67,104
2025-07-11 17:55:04,989 # -65,112
2025-07-11 17:55:05,090 # -64,116
2025-07-11 17:55:05,190 # -65,112
2025-07-11 17:55:05,291 # -67,104
2025-07-11 17:55:05,297 # -67,104
2025-07-11 17:55:05,390 # -67,104
2025-07-11 17:55:05,491 # -68,100
2025-07-11 17:55:05,592 # -67,104
2025-07-11 17:55:05,693 # -66,108
2025-07-11 17:55:05,793 # -66,108
2025-07-11 17:55:05,799 # -66,108
2025-07-11 17:55:05,895 # -65,112
2025-07-11 17:55:05,995 # -66,108
2025-07-11 17:55:06,095 # -66,108
2025-07-11 17:55:06,195 # -67,104
2025-07-11 17:55:06,296 # -66,108
2025-07-11 17:55:06,398 # -66,108
2025-07-11 17:55:06,498 # -66,108
2025-07-11 17:55:06,599 # -67,104
2025-07-11 17:55:06,698 # -68,100
2025-07-11 17:55:06,800 # -68,100
2025-07-11 17:55:06,900 # -66,108
2025-07-11 17:55:07,002 # -65,112
2025-07-11 17:55:07,102 # -65,112
2025-07-11 17:55:07,202 # -66,108
2025-07-11 17:55:07,303 # -66,108
2025-07-11 17:55:07,402 # -67,104
2025-07-11 17:55:07,504 # -68,100
2025-07-11 17:55:07,604 # -69,96
2025-07-11 17:55:07,704 # -66,108
2025-07-11 17:55:07,806 # -65,112
2025-07-11 17:55:07,907 # -70,92
2025-07-11 17:55:08,006 # -70,92
2025-07-11 17:55:08,106 # -67,104
2025-07-11 17:55:08,208 # -65,112
2025-07-11 17:55:08,309 # -74,76
2025-07-11 17:55:08,409 # -71,88
2025-07-11 17:55:08,510 # -71,88
2025-07-11 17:55:08,610 # -73,80
2025-07-11 17:55:08,714 # -77,64
2025-07-11 17:55:08,810 # -74,76
2025-07-11 17:55:08,911 # -74,76
2025-07-11 17:55:09,012 # -73,80
2025-07-11 17:55:09,111 # -74,76
2025-07-11 17:55:09,213 # -70,92
2025-07-11 17:55:09,314 # -66,108
2025-07-11 17:55:09,414 # -65,112
2025-07-11 17:55:09,514 # -65,112
2025-07-11 17:55:09,615 # -67,104
2025-07-11 17:55:09,716 # -68,100
2025-07-11 17:55:09,817 # -70,92
2025-07-11 17:55:09,917 # -68,100
2025-07-11 17:55:10,019 # -66,108
2025-07-11 17:55:10,118 # -64,116
2025-07-11 17:55:10,218 # -64,116
2025-07-11 17:55:10,320 # -65,112
2025-07-11 17:55:10,419 # -65,112
2025-07-11 17:55:10,521 # -65,112
2025-07-11 17:55:10,621 # -65,112
2025-07-11 17:55:10,722 # -66,108
2025-07-11 17:55:10,823 # -65,112
2025-07-11 17:55:10,922 # -64,116
2025-07-11 17:55:11,023 # -64,116
2025-07-11 17:55:11,123 # -65,112
2025-07-11 17:55:11,224 # -65,112
2025-07-11 17:55:11,325 # -65,112
2025-07-11 17:55:11,425 # -65,112
2025-07-11 17:55:11,525 # -65,112
2025-07-11 17:55:11,627 # -64,116
2025-07-11 17:55:11,728 # -64,116
2025-07-11 17:55:11,827 # -64,116
2025-07-11 17:55:11,929 # -64,116
2025-07-11 17:55:12,028 # -64,116
2025-07-11 17:55:12,136 # -64,116
2025-07-11 17:55:12,229 # -64,116
2025-07-11 17:55:12,331 # -64,116
2025-07-11 17:55:12,431 # -64,116
2025-07-11 17:55:12,532 # -65,112
2025-07-11 17:55:12,631 # -65,112
2025-07-11 17:55:12,734 # -66,108
2025-07-11 17:55:12,834 # -65,112
2025-07-11 17:55:12,932 # -65,112
2025-07-11 17:55:13,033 # -65,112
2025-07-11 17:55:13,035 # -65,112
2025-07-11 17:55:13,134 # -65,112
2025-07-11 17:55:13,236 # -66,108
2025-07-11 17:55:13,335 # -66,108
2025-07-11 17:55:13,437 # -66,108
2025-07-11 17:55:13,444 # -67,104
2025-07-11 17:55:13,537 # -67,104
2025-07-11 17:55:13,639 # -68,100
2025-07-11 17:55:13,739 # -66,108
2025-07-11 17:55:13,839 # -66,108
2025-07-11 17:55:13,939 # -66,108
2025-07-11 17:55:14,040 # -66,108
2025-07-11 17:55:14,140 # -66,108
2025-07-11 17:55:14,241 # -66,108
2025-07-11 17:55:14,343 # -66,108
2025-07-11 17:55:14,443 # -66,108
2025-07-11 17:55:14,542 # -66,108
2025-07-11 17:55:14,644 # -66,108
2025-07-11 17:55:14,746 # -67,104
2025-07-11 17:55:14,844 # -69,96
2025-07-11 17:55:14,944 # -69,96
2025-07-11 17:55:15,047 # -68,100
2025-07-11 17:55:15,146 # -66,108
2025-07-11 17:55:15,247 # -68,100
2025-07-11 17:55:15,348 # -68,100
2025-07-11 17:55:15,355 # -67,104
2025-07-11 17:55:15,449 # -68,100
2025-07-11 17:55:15,550 # -67,104
2025-07-11 17:55:15,648 # -67,104
2025-07-11 17:55:15,751 # -69,96
2025-07-11 17:55:15,852 # -66,108
2025-07-11 17:55:15,951 # -66,108
2025-07-11 17:55:16,052 # -66,108
2025-07-11 17:55:16,154 # -67,104
2025-07-11 17:55:16,252 # -65,112
2025-07-11 17:55:16,354 # -65,112
2025-07-11 17:55:16,455 # -66,108
2025-07-11 17:55:16,554 # -68,100
2025-07-11 17:55:16,655 # -70,92
2025-07-11 17:55:16,755 # -71,88
2025-07-11 17:55:16,855 # -71,88
2025-07-11 17:55:16,956 # -68,100
2025-07-11 17:55:17,058 # -68,100
2025-07-11 17:55:17,157 # -68,100
2025-07-11 17:55:17,259 # -68,100
2025-07-11 17:55:17,359 # -67,104
2025-07-11 17:55:17,460 # -67,104
2025-07-11 17:55:17,561 # -67,104
2025-07-11 17:55:17,660 # -67,104
2025-07-11 17:55:17,761 # -68,100
2025-07-11 17:55:17,863 # -67,104
2025-07-11 17:55:17,962 # -67,104
2025-07-11 17:55:18,064 # -66,108
2025-07-11 17:55:18,165 # -68,100
2025-07-11 17:55:18,265 # -67,104
2025-07-11 17:55:18,365 # -68,100
2025-07-11 17:55:18,464 # -68,100
2025-07-11 17:55:18,566 # -69,96
2025-07-11 17:55:18,667 # -68,100
2025-07-11 17:55:18,767 # -67,104
2025-07-11 17:55:18,867 # -68,100
2025-07-11 17:55:18,967 # -67,104
2025-07-11 17:55:19,069 # -66,108
2025-07-11 17:55:19,169 # -66,108
2025-07-11 17:55:19,269 # -68,100
2025-07-11 17:55:19,370 # -69,96
2025-07-11 17:55:19,472 # -69,96
2025-07-11 17:55:19,573 # -72,84
2025-07-11 17:55:19,674 # -71,88
2025-07-11 17:55:19,679 # -71,88
2025-07-11 17:55:19,774 # -70,92
2025-07-11 17:55:19,874 # -69,96
2025-07-11 17:55:19,973 # -69,96
2025-07-11 17:55:20,074 # -67,104
2025-07-11 17:55:20,176 # -66,108
2025-07-11 17:55:20,277 # -67,104
2025-07-11 17:55:20,377 # -66,108
2025-07-11 17:55:20,477 # -65,112
2025-07-11 17:55:20,579 # -66,108
2025-07-11 17:55:20,677 # -67,104
2025-07-11 17:55:20,780 # -66,108
2025-07-11 17:55:20,879 # -66,108
2025-07-11 17:55:20,979 # -67,104
2025-07-11 17:55:21,081 # -66,108
2025-07-11 17:55:21,182 # -67,104
2025-07-11 17:55:21,282 # -66,108
2025-07-11 17:55:21,382 # -67,104
2025-07-11 17:55:21,482 # -66,108
2025-07-11 17:55:21,584 # -66,108
2025-07-11 17:55:21,682 # -68,100
2025-07-11 17:55:21,785 # -65,112
2025-07-11 17:55:21,884 # -65,112
2025-07-11 17:55:21,986 # -65,112
2025-07-11 17:55:22,086 # -66,108
2025-07-11 17:55:22,186 # -67,104
2025-07-11 17:55:22,288 # -67,104
2025-07-11 17:55:22,387 # -66,108
2025-07-11 17:55:22,488 # -65,112
2025-07-11 17:55:22,590 # -66,108
2025-07-11 17:55:22,690 # -69,96
2025-07-11 17:55:22,791 # -69,96
2025-07-11 17:55:22,890 # -67,104
2025-07-11 17:55:22,992 # -66,108
2025-07-11 17:55:23,091 # -65,112
2025-07-11 17:55:23,192 # -65,112
2025-07-11 17:55:23,294 # -66,108
2025-07-11 17:55:23,393 # -68,100
2025-07-11 17:55:23,495 # -70,92
2025-07-11 17:55:23,595 # -68,100
2025-07-11 17:55:23,694 # -66,108
2025-07-11 17:55:23,795 # -69,96
2025-07-11 17:55:23,897 # -69,96
2025-07-11 17:55:23,998 # -67,104
2025-07-11 17:55:24,097 # -67,104
2025-07-11 17:55:24,199 # -68,100
2025-07-11 17:55:24,298 # -69,96
2025-07-11 17:55:24,398 # -69,96
