/home/kerouac/RIOT/dist/tools/pyterm/pyterm -p "/dev/ttyACM0" -b "115200" -ln "/tmp/pyterm-kerouac" -rn "2025-07-10_16.25.26-pkt_logger-adafruit-feather-nrf52840-sense"  
2025-07-10 16:25:26,450 # Connect to serial port /dev/ttyACM0
2025-07-10 16:25:27,453 # r
Welcome to pyterm!
Type '/exit' to exit.
2025-07-10 16:25:27,455 # main(): This is RIOT! (Version: 2025.01)
2025-07-10 16:25:27,457 # Packet Logger w/ Timestamp RSSI LQI
2025-07-10 16:25:27,457 # 
2025-07-10 16:25:27,458 # [recv_thread] started
2025-07-10 16:25:27,459 # [sender_thread] started
> 2025-07-10 16:25:31,142 # help
2025-07-10 16:25:31,144 # Command              Description
2025-07-10 16:25:31,146 # ---------------------------------------
2025-07-10 16:25:31,149 # target_add           Add IPv6 target for sending packets
2025-07-10 16:25:31,151 # send                 Control sender: send start|stop
2025-07-10 16:25:31,153 # status               Show sender status and target list
2025-07-10 16:25:31,155 # ping                 Ping via ICMPv6
2025-07-10 16:25:31,157 # nib                  Configure neighbor information base
2025-07-10 16:25:31,159 # ifconfig             Configure network interfaces
2025-07-10 16:25:31,161 # 6ctx                 6LoWPAN context configuration tool
2025-07-10 16:25:31,163 # pm                   interact with layered PM subsystem
2025-07-10 16:25:31,165 # version              Prints current RIOT_VERSION
2025-07-10 16:25:31,166 # bootloader           Reboot to bootloader
2025-07-10 16:25:31,168 # reboot               Reboot the node
2025-07-10 16:25:59,823 # -78,60
2025-07-10 16:25:59,922 # -79,56
2025-07-10 16:26:00,024 # -75,72
2025-07-10 16:26:00,124 # -83,40
2025-07-10 16:26:00,236 # -88,20
2025-07-10 16:26:00,325 # -76,68
2025-07-10 16:26:00,425 # -75,72
2025-07-10 16:26:00,525 # -76,68
2025-07-10 16:26:00,628 # -79,56
2025-07-10 16:26:00,727 # -77,64
2025-07-10 16:26:00,828 # -78,60
2025-07-10 16:26:00,928 # -85,32
2025-07-10 16:26:01,029 # -81,48
2025-07-10 16:26:01,129 # -82,44
2025-07-10 16:26:01,231 # -77,64
2025-07-10 16:26:01,329 # -82,44
2025-07-10 16:26:01,431 # -80,52
2025-07-10 16:26:01,532 # -78,60
2025-07-10 16:26:01,632 # -79,56
2025-07-10 16:26:01,731 # -85,32
2025-07-10 16:26:01,835 # -76,68
2025-07-10 16:26:01,935 # -76,68
2025-07-10 16:26:02,035 # -79,56
2025-07-10 16:26:02,134 # -74,76
2025-07-10 16:26:02,237 # -80,52
2025-07-10 16:26:02,335 # -79,56
2025-07-10 16:26:02,441 # -77,64
2025-07-10 16:26:02,538 # -76,68
2025-07-10 16:26:02,638 # -77,64
2025-07-10 16:26:02,738 # -80,52
2025-07-10 16:26:02,839 # -81,48
2025-07-10 16:26:02,941 # -76,68
2025-07-10 16:26:03,040 # -76,68
2025-07-10 16:26:03,141 # -76,68
2025-07-10 16:26:03,247 # -79,56
2025-07-10 16:26:03,346 # -77,64
2025-07-10 16:26:03,443 # -76,68
2025-07-10 16:26:03,543 # -76,68
2025-07-10 16:26:03,644 # -76,68
2025-07-10 16:26:03,744 # -76,68
2025-07-10 16:26:03,845 # -77,64
2025-07-10 16:26:03,945 # -75,72
2025-07-10 16:26:04,046 # -76,68
2025-07-10 16:26:04,146 # -79,56
2025-07-10 16:26:04,245 # -77,64
2025-07-10 16:26:04,346 # -76,68
2025-07-10 16:26:04,447 # -77,64
2025-07-10 16:26:04,549 # -77,64
2025-07-10 16:26:04,649 # -78,60
2025-07-10 16:26:04,749 # -76,68
2025-07-10 16:26:04,851 # -77,64
2025-07-10 16:26:04,950 # -78,60
2025-07-10 16:26:05,052 # -76,68
2025-07-10 16:26:05,152 # -75,72
2025-07-10 16:26:05,253 # -76,68
2025-07-10 16:26:05,358 # -76,68
2025-07-10 16:26:05,455 # -75,72
2025-07-10 16:26:05,555 # -77,64
2025-07-10 16:26:05,655 # -77,64
2025-07-10 16:26:05,757 # -77,64
2025-07-10 16:26:05,859 # -77,64
2025-07-10 16:26:05,958 # -77,64
2025-07-10 16:26:06,056 # -77,64
2025-07-10 16:26:06,157 # -76,68
2025-07-10 16:26:06,259 # -77,64
