rssi,lqi
-50,172
-50,172
-50,172
-50,172
-50,172
-50,172
-50,172
-50,172
-50,172
-49,176
-49,176
-49,176
-50,172
-49,176
-50,172
-50,172
-49,176
-49,176
-51,168
-51,168
-50,172
-51,168
-50,172
-50,172
-50,172
-50,172
-50,172
-49,176
-49,176
-49,176
-49,176
-50,172
-50,172
-50,172
-50,172
-50,172
-50,172
-49,176
-50,172
-50,172
-50,172
-50,172
-50,172
-50,172
-49,176
-50,172
-50,172
-50,172
-50,172
-49,176
-49,176
-49,176
-50,172
-49,176
-49,176
-49,176
-49,176
-50,172
-49,176
-50,172
-50,172
-50,172
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-50,172
-51,168
-51,168
-50,172
-50,172
-51,168
-50,172
-50,172
-49,176
-50,172
-50,172
-50,172
-50,172
-50,172
-50,172
-50,172
-49,176
-49,176
-49,176
-50,172
-50,172
-50,172
-50,172
-50,172
-50,172
-50,172
-49,176
-50,172
-49,176
-50,172
-49,176
-49,176
-50,172
-49,176
-49,176
-49,176
-49,176
-49,176
-50,172
-49,176
-49,176
-49,176
-50,172
-49,176
-49,176
-49,176
-49,176
-49,176
-50,172
-50,172
-49,176
-49,176
-50,172
-49,176
-50,172
-50,172
-50,172
-50,172
-50,172
-50,172
-51,168
-51,168
-51,168
-51,168
-51,168
-51,168
-51,168
-51,168
-51,168
-51,168
-51,168
-51,168
-51,168
-51,168
-51,168
-51,168
-51,168
-51,168
-51,168
-50,172
-51,168
-51,168
-51,168
-51,168
-51,168
-50,172
-50,172
-50,172
-49,176
-49,176
-49,176
-49,176
-49,176
-50,172
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-50,172
-50,172
-50,172
-50,172
-50,172
-50,172
-49,176
-49,176
-48,180
-48,180
-48,180
-48,180
-49,176
-49,176
-49,176
-51,168
-50,172
-49,176
-48,180
-50,172
-50,172
-49,176
-50,172
-50,172
-49,176
-50,172
-49,176
-49,176
-48,180
-49,176
-49,176
-48,180
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-48,180
-48,180
-48,180
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-50,172
-49,176
-50,172
-50,172
-50,172
-51,168
-50,172
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-48,180
-48,180
-48,180
-48,180
-48,180
-48,180
-48,180
-47,184
-48,180
-48,180
-48,180
-48,180
-47,184
-48,180
-48,180
-48,180
-47,184
-48,180
-48,180
-48,180
-48,180
-48,180
-48,180
-48,180
-48,180
-48,180
-49,176
-48,180
-48,180
-49,176
-49,176
-48,180
-48,180
-47,184
-48,180
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-48,180
-49,176
-49,176
-48,180
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-48,180
-48,180
-48,180
-48,180
-48,180
-48,180
-48,180
-48,180
-48,180
-49,176
-49,176
-49,176
-49,176
-49,176
-49,176
-50,172
-51,168
-51,168
-51,168
-50,172
-49,176
-50,172
-52,164
-56,148
-61,128
-63,120
-63,120
-63,120
-64,116
-63,120
-62,124
-61,128
-61,128
-65,112
-66,108
-63,120
-64,116
-63,120
-60,132
-64,116
-62,124
-68,100
-57,144
-52,164
-53,160
-62,124
-59,136
-59,136
-56,148
-72,84
-55,152
-56,148
-56,148
-52,164
-51,168
-51,168
-57,144
-68,100
-58,140
-63,120
-64,116
-63,120
-65,112
-73,80
-61,128
-62,124
-61,128
-61,128
-57,144
-57,144
-56,148
-56,148
-55,152
-52,164
-51,168
-54,156
-55,152
-57,144
-57,144
-57,144
-57,144
-55,152
-56,148
-58,140
-54,156
-52,164
-51,168
-51,168
-52,164
-52,164
-51,168
-50,172
-50,172
-54,156
-53,160
-52,164
-52,164
-51,168
-51,168
-51,168
-50,172
-51,168
-51,168
-51,168
-53,160
-57,144
-56,148
-55,152
-54,156
-54,156
-54,156
-56,148
-57,144
-59,136
-54,156
-54,156
-56,148
-56,148
-53,160
-56,148
-55,152
-56,148
-52,164
-52,164
-53,160
-53,160
-54,156
-55,152
-55,152
-53,160
-53,160
-54,156
-56,148
-61,128
-60,132
-58,140
-58,140
-60,132
-55,152
-55,152
-56,148
-56,148
-55,152
-55,152
-55,152
-55,152
-54,156
-54,156
-55,152
-55,152
-56,148
-57,144
-55,152
-56,148
-55,152
-55,152
-55,152
-56,148
-55,152
-55,152
-55,152
-55,152
-54,156
-57,144
-55,152
-55,152
-56,148
-56,148
-56,148
-56,148
-56,148
-55,152
-57,144
-54,156
-56,148
-55,152
-55,152
-55,152
-54,156
-52,164
-55,152
-54,156
-54,156
-54,156
-54,156
-55,152
-53,160
-53,160
-52,164
-52,164
-52,164
-52,164
-52,164
-52,164
-52,164
-51,168
-52,164
-52,164
-53,160
-53,160
-53,160
-53,160
-53,160
-54,156
-54,156
-54,156
-54,156
-54,156
-53,160
-54,156
-54,156
-54,156
-54,156
-54,156
-54,156
-53,160
-53,160
