timestamp_ms,rssi,lqi
0,-80,52
101,-81,48
201,-79,56
303,-80,52
403,-86,28
503,-85,32
604,-88,20
703,-84,36
804,-80,52
906,-79,56
1004,-79,56
1106,-77,64
1208,-80,52
1308,-83,40
1409,-82,44
1509,-81,48
1610,-84,36
1715,-82,44
1812,-84,36
1911,-81,48
2012,-79,56
2112,-80,52
2215,-79,56
2313,-80,52
2416,-82,44
2514,-82,44
2616,-83,40
2715,-87,24
2816,-86,28
2916,-89,16
3017,-84,36
3021,-84,36
3119,-80,52
3219,-80,52
3319,-80,52
3421,-80,52
3521,-84,36
3620,-86,28
3722,-86,28
3823,-84,36
3922,-85,32
4022,-84,36
4123,-85,32
4224,-83,40
4325,-82,44
4425,-79,56
4527,-77,64
4627,-78,60
4726,-78,60
4827,-79,56
4928,-81,48
5028,-80,52
5129,-79,56
5231,-80,52
5330,-79,56
5431,-82,44
5532,-79,56
5633,-80,52
5732,-81,48
5833,-81,48
5934,-83,40
6034,-84,36
6136,-85,32
6237,-88,20
6337,-85,32
6443,-87,24
6542,-82,44
6640,-81,48
6739,-80,52
6839,-81,48
6942,-81,48
7042,-80,52
7142,-81,48
7242,-81,48
7343,-82,44
7442,-80,52
7545,-81,48
7644,-82,44
7744,-82,44
7846,-82,44
7945,-89,16
8045,-85,32
8147,-88,20
8247,-83,40
8351,-83,40
8448,-82,44
8549,-80,52
8651,-80,52
8750,-82,44
8850,-80,52
8951,-83,40
9052,-84,36
9152,-84,36
9253,-82,44
9358,-86,28
9455,-84,36
9554,-82,44
9656,-83,40
9756,-79,56
9856,-82,44
9958,-90,12
10058,-85,32
10159,-89,16
10258,-81,48
10360,-86,28
10460,-85,32
10561,-81,48
10660,-82,44
10763,-83,40
10862,-83,40
10963,-83,40
11064,-84,36
11163,-85,32
11264,-83,40
11365,-83,40
11465,-85,32
11566,-83,40
11671,-84,36
11773,-87,24
11867,-89,16
11969,-86,28
12068,-85,32
12170,-84,36
12271,-82,44
12370,-82,44
12470,-82,44
12572,-82,44
12672,-82,44
12772,-77,64
12874,-88,20
12974,-85,32
13074,-87,24
13175,-78,60
13275,-81,48
13377,-80,52
13476,-78,60
13577,-77,64
13679,-79,56
13780,-86,28
13878,-79,56
13980,-78,60
14081,-82,44
14186,-84,36
14282,-81,48
14382,-79,56
14484,-83,40
14583,-84,36
14683,-86,28
14784,-85,32
14890,-79,56
14985,-90,12
15085,-77,64
15089,-77,64
15187,-88,20
15286,-77,64
15289,-77,64
15389,-90,12
15488,-77,64
15590,-83,40
15690,-82,44
15789,-80,52
15890,-81,48
15992,-83,40
16091,-84,36
16190,-83,40
16293,-81,48
16393,-84,36
16500,-83,40
16594,-90,12
16695,-88,20
16797,-83,40
16897,-87,24
16899,-87,24
16903,-86,28
16996,-83,40
17099,-86,28
17197,-82,44
17298,-83,40
17399,-85,32
17501,-86,28
17611,-85,32
17700,-85,32
17806,-85,32
17901,-85,32
18003,-85,32
18104,-85,32
18203,-85,32
18305,-84,36
18409,-84,36
18505,-84,36
18605,-84,36
18707,-84,36
18808,-84,36
18909,-84,36
19008,-85,32
19110,-84,36
19208,-84,36
19311,-85,32
19410,-85,32
19511,-85,32
19612,-84,36
19712,-85,32
19813,-86,28
19915,-87,24
20015,-84,36
20113,-84,36
20215,-84,36
20317,-83,40
20417,-83,40
20517,-83,40
20618,-84,36
20724,-82,44
20819,-82,44
20918,-87,24
21019,-83,40
21121,-86,28
21220,-83,40
21320,-83,40
21421,-91,8
21524,-80,52
21623,-82,44
21723,-80,52
21825,-80,52
21924,-81,48
22024,-83,40
22125,-83,40
22227,-85,32
22327,-90,12
22427,-93,0
22529,-93,0
22534,-93,0
22629,-87,24
22730,-80,52
22829,-78,60
22931,-84,36
23031,-89,16
23131,-84,36
23233,-84,36
23334,-87,24
23433,-89,16
23534,-88,20
23635,-87,24
23736,-83,40
23839,-83,40
23949,-93,0
23952,-93,0
24037,-86,28
24137,-88,20
24237,-87,24
24339,-86,28
24446,-85,32
24539,-85,32
24546,-85,32
24639,-93,0
24644,-93,0
24744,-81,48
24751,-80,52
24846,-89,16
24941,-82,44
25042,-81,48
25143,-84,36
25245,-93,0
25343,-86,28
25444,-77,64
25545,-88,20
25645,-85,32
25746,-81,48
25847,-82,44
25947,-79,56
26048,-83,40
26148,-84,36
26248,-81,48
26350,-85,32
26451,-83,40
26550,-84,36
26652,-85,32
26751,-84,36
26854,-82,44
26953,-83,40
27054,-81,48
27153,-82,44
27256,-82,44
27355,-84,36
27455,-85,32
27558,-83,40
27656,-83,40
27757,-81,48
27864,-86,28
27960,-85,32
28058,-81,48
28160,-87,24
28260,-85,32
28362,-83,40
28463,-82,44
28561,-83,40
28661,-84,36
28771,-87,24
28863,-82,44
28964,-84,36
29064,-83,40
29165,-83,40
29266,-82,44
29366,-80,52
29467,-83,40
29568,-82,44
29669,-84,36
29770,-80,52
29868,-83,40
29969,-84,36
30074,-83,40
30173,-84,36
30272,-87,24
30372,-86,28
30473,-89,16
30578,-90,12
30674,-92,4
30776,-93,0
30877,-86,28
30975,-83,40
31081,-83,40
31176,-86,28
31279,-85,32
31378,-86,28
31478,-88,20
31579,-87,24
31684,-87,24
31781,-87,24
31882,-88,20
31981,-85,32
32083,-87,24
32183,-84,36
32281,-83,40
32384,-82,44
32485,-84,36
32586,-84,36
32685,-85,32
32788,-82,44
32888,-85,32
32988,-84,36
33089,-82,44
33188,-82,44
33289,-82,44
33389,-82,44
33491,-82,44
33590,-82,44
33691,-82,44
33791,-82,44
33893,-83,40
33993,-83,40
34092,-83,40
34200,-83,40
34294,-82,44
34395,-84,36
34399,-84,36
34497,-83,40
34596,-82,44
34697,-82,44
34798,-77,64
34898,-82,44
35000,-83,40
35098,-82,44
35200,-83,40
35301,-84,36
35401,-83,40
35501,-85,32
35602,-84,36
35702,-84,36
35809,-84,36
35903,-84,36
36004,-85,32
36105,-84,36
36206,-86,28
36306,-88,20
36406,-88,20
36508,-88,20
36608,-89,16
36709,-88,20
36808,-89,16
36909,-89,16
37009,-87,24
37110,-84,36
37212,-83,40
37311,-84,36
37411,-84,36
37512,-84,36
37613,-82,44
37715,-81,48
37815,-81,48
37914,-82,44
38015,-84,36
38115,-85,32
38218,-85,32
38318,-84,36
38417,-82,44
38519,-84,36
38618,-88,20
38723,-84,36
38821,-89,16
38921,-89,16
39021,-87,24
39121,-88,20
39222,-90,12
39226,-90,12
39329,-86,28
39422,-83,40
39523,-83,40
39624,-82,44
39725,-82,44
39826,-83,40
39927,-84,36
40028,-82,44
40127,-83,40
40229,-85,32
40341,-83,40
40430,-83,40
40530,-84,36
40629,-85,32
40732,-85,32
40830,-85,32
40932,-84,36
41032,-83,40
41134,-83,40
41234,-84,36
41334,-83,40
41441,-83,40
41535,-83,40
41636,-83,40
41737,-82,44
41837,-82,44
41937,-82,44
42039,-82,44
42140,-82,44
42238,-82,44
42340,-82,44
42441,-82,44
42548,-81,48
42643,-81,48
42744,-81,48
42844,-81,48
42942,-81,48
43044,-81,48
43144,-81,48
43244,-81,48
43346,-81,48
43447,-81,48
43546,-81,48
43649,-81,48
43747,-81,48
43850,-82,44
43949,-82,44
44050,-82,44
44149,-82,44
44251,-82,44
44350,-82,44
44451,-82,44
44552,-82,44
44654,-82,44
44754,-82,44
44854,-82,44
44954,-82,44
45056,-81,48
45156,-82,44
45257,-81,48
45356,-81,48
45457,-82,44
45557,-82,44
45660,-83,40
45760,-83,40
45860,-83,40
45961,-83,40
46060,-83,40
46161,-83,40
46263,-83,40
46362,-82,44
46464,-82,44
46565,-82,44
46665,-82,44
46765,-81,48
46865,-82,44
46870,-82,44
46966,-82,44
47066,-82,44
47168,-82,44
47268,-82,44
47369,-82,44
47469,-82,44
47568,-82,44
47669,-82,44
47771,-82,44
47871,-82,44
47972,-81,48
48073,-81,48
48172,-81,48
48274,-80,52
48373,-81,48
48473,-80,52
48574,-80,52
48676,-80,52
48775,-81,48
48878,-81,48
48976,-81,48
49079,-82,44
49179,-82,44
49182,-83,40
49278,-83,40
49378,-82,44
49479,-82,44
49580,-82,44
49687,-82,44
49783,-83,40
49882,-83,40
49984,-84,36
50085,-87,24
50185,-87,24
50286,-85,32
50384,-86,28
50487,-87,24
50587,-85,32
50686,-85,32
50788,-85,32
50889,-85,32
50990,-85,32
51089,-84,36
51191,-84,36
51292,-84,36
51391,-84,36
51493,-84,36
51593,-84,36
51695,-84,36
51792,-84,36
51894,-84,36
51996,-85,32
52096,-84,36
52197,-84,36
52297,-84,36
52398,-83,40
52496,-83,40
52599,-82,44
52697,-83,40
52799,-83,40
52900,-84,36
53001,-85,32
53100,-85,32
53202,-84,36
53301,-84,36
53403,-83,40
53510,-83,40
53603,-83,40
53704,-83,40
53804,-83,40
53906,-83,40
54005,-82,44
54106,-82,44
54208,-82,44
54307,-82,44
54407,-82,44
54509,-83,40
54609,-82,44
54709,-82,44
54809,-81,48
54912,-82,44
55012,-81,48
55111,-82,44
55214,-81,48
55313,-82,44
55413,-82,44
55515,-83,40
55616,-84,36
55716,-84,36
55816,-84,36
55921,-84,36
56017,-84,36
56118,-83,40
56219,-84,36
56318,-84,36
56420,-83,40
56521,-83,40
56625,-82,44
56721,-83,40
56822,-83,40
56923,-83,40
57023,-83,40
57125,-83,40
57225,-83,40
57324,-84,36
57433,-84,36
57525,-84,36
57633,-85,32
57727,-85,32
57833,-85,32
57927,-85,32
58028,-86,28
58129,-86,28
58230,-84,36
58331,-83,40
58432,-87,24
58530,-83,40
58631,-85,32
58734,-83,40
58835,-84,36
58934,-84,36
59035,-83,40
59135,-85,32
59234,-85,32
59335,-86,28
59436,-84,36
59537,-83,40
59637,-84,36
59738,-83,40
59838,-83,40
59940,-84,36
60041,-84,36
60141,-85,32
60244,-84,36
60341,-84,36
60443,-84,36
60542,-83,40
60644,-85,32
60745,-82,44
60845,-83,40
60945,-85,32
61049,-84,36
61145,-83,40
61246,-83,40
61348,-83,40
61447,-83,40
61549,-83,40
61649,-82,44
61749,-84,36
61849,-82,44
61950,-84,36
62051,-84,36
62151,-84,36
62252,-83,40
62354,-84,36
62457,-85,32
62555,-85,32
62655,-86,28
62754,-85,32
62857,-84,36
62957,-84,36
63056,-84,36
63157,-83,40
63262,-84,36
63358,-82,44
63459,-84,36
63560,-82,44
63661,-82,44
63761,-83,40
63861,-84,36
63961,-85,32
64063,-83,40
64162,-84,36
64263,-84,36
64364,-84,36
64465,-83,40
64565,-84,36
64667,-85,32
64768,-84,36
64866,-82,44
64967,-82,44
65068,-84,36
65168,-84,36
65269,-84,36
65370,-83,40
65471,-83,40
65571,-83,40
65672,-83,40
65773,-83,40
65873,-83,40
65975,-82,44
66075,-84,36
66175,-83,40
66274,-81,48
66375,-81,48
66477,-83,40
66578,-82,44
66679,-83,40
66779,-84,36
66879,-85,32
66980,-85,32
67081,-85,32
67180,-84,36
67280,-85,32
67383,-85,32
67483,-85,32
67584,-86,28
67683,-85,32
67785,-86,28
67884,-86,28
67985,-86,28
68087,-86,28
68187,-86,28
68190,-86,28
68286,-87,24
68387,-84,36
68488,-83,40
68589,-83,40
68689,-83,40
68791,-83,40
68889,-84,36
68993,-84,36
69091,-84,36
69192,-84,36
69298,-84,36
69392,-84,36
69495,-84,36
69594,-84,36
69694,-84,36
69795,-84,36
69895,-84,36
69996,-83,40
70097,-83,40
70197,-83,40
70304,-83,40
70399,-84,36
70500,-84,36
70599,-84,36
70701,-84,36
70800,-84,36
70901,-85,32
71001,-85,32
71104,-85,32
71205,-84,36
71208,-84,36
71304,-83,40
71405,-85,32
71505,-84,36
71607,-83,40
71706,-83,40
71807,-82,44
71907,-83,40
72007,-82,44
72012,-82,44
72110,-82,44
72208,-82,44
72313,-82,44
72411,-82,44
72510,-81,48
72612,-81,48
72619,-82,44
72711,-81,48
72814,-82,44
72913,-81,48
73015,-82,44
73115,-81,48
73216,-81,48
73316,-81,48
73416,-81,48
73516,-80,52
73618,-81,48
73718,-81,48
73819,-81,48
73919,-82,44
74021,-81,48
74121,-81,48
74220,-82,44
74322,-82,44
74422,-81,48
74521,-81,48
74623,-82,44
74724,-81,48
74825,-82,44
74924,-81,48
75026,-82,44
75124,-82,44
75225,-82,44
75330,-82,44
75335,-82,44
75427,-82,44
75528,-82,44
75628,-82,44
75729,-82,44
75828,-84,36
75930,-83,40
76029,-83,40
76032,-83,40
76130,-82,44
76232,-83,40
76333,-82,44
76433,-82,44
76534,-82,44
76634,-82,44
76735,-82,44
76836,-82,44
76937,-82,44
77036,-81,48
77136,-82,44
77238,-81,48
77338,-81,48
77438,-81,48
77539,-81,48
77640,-82,44
77741,-83,40
77840,-83,40
77942,-82,44
78041,-82,44
78143,-81,48
78244,-82,44
78344,-82,44
78445,-82,44
78544,-82,44
78645,-82,44
78745,-82,44
78848,-82,44
78947,-82,44
79048,-82,44
79148,-82,44
79247,-83,40
79349,-83,40
79456,-82,44
79552,-81,48
79650,-82,44
79752,-82,44
79854,-82,44
79954,-82,44
80052,-82,44
80154,-83,40
80254,-83,40
80359,-82,44
80456,-82,44
80562,-82,44
80658,-82,44
80757,-83,40
80857,-82,44
80958,-83,40
81059,-82,44
81160,-82,44
81260,-82,44
81361,-82,44
81462,-83,40
81567,-83,40
81663,-84,36
81763,-84,36
81865,-83,40
81963,-83,40
82064,-83,40
82167,-82,44
82267,-82,44
82365,-82,44
82468,-82,44
82568,-83,40
82670,-83,40
82770,-82,44
82870,-82,44
82969,-82,44
83070,-81,48
83072,-81,48
83171,-81,48
83271,-81,48
83372,-81,48
83472,-82,44
83575,-83,40
83674,-84,36
83774,-83,40
83876,-83,40
83975,-83,40
84077,-84,36
84177,-84,36
84277,-83,40
84377,-83,40
84480,-83,40
84580,-83,40
84679,-84,36
84684,-83,40
84781,-84,36
84880,-84,36
84981,-84,36
84987,-84,36
85081,-84,36
85182,-84,36
85284,-84,36
85383,-84,36
85485,-84,36
85586,-84,36
85685,-84,36
85786,-83,40
85887,-83,40
85988,-83,40
86088,-83,40
86187,-83,40
86288,-82,44
86388,-83,40
86497,-84,36
86591,-85,32
86690,-85,32
86790,-85,32
86891,-83,40
86992,-83,40
87095,-83,40
87195,-83,40
87294,-82,44
